bootstrap_unit,ci95_high,ci95_low,density,half_width,mean,method,method_label,metric,n_bootstrap,n_seeds
shared evaluation seed,0.0,0.0,0.08163265306122448,7.0,0.0,alf,ALF,final_fragmentation,2000,50
shared evaluation seed,0.0,0.0,0.08163265306122448,7.0,0.0,alf,ALF,mean_fragmentation,2000,50
shared evaluation seed,1.0,1.0,0.08163265306122448,7.0,1.0,alf,ALF,final_largest_scc_fraction,2000,50
shared evaluation seed,1.0,1.0,0.08163265306122448,7.0,1.0,alf,ALF,mean_largest_scc_fraction,2000,50
shared evaluation seed,7.43525342039801,7.1103692475124385,0.08163265306122448,7.0,7.265292288557214,alf,ALF,mean_degree,2000,50
shared evaluation seed,5.253494966931714,5.078328038837955,0.08163265306122448,7.0,5.166740318836223,alf,ALF,mean_radius,2000,50
shared evaluation seed,89.59271366762246,84.18554745678857,0.08163265306122448,7.0,86.94940883909885,alf,ALF,mean_interaction_area,2000,50
shared evaluation seed,0.00366875,0.0029,0.08163265306122448,7.0,0.0032687500000000004,alf,ALF,neighbor_loss_rate,2000,50
shared evaluation seed,0.9914303604373013,0.9890216988782355,0.08163265306122448,7.0,0.9903332772098226,alf,ALF,polar_order,2000,50
shared evaluation seed,0.004085001231229923,0.0036104635550412234,0.08163265306122448,7.0,0.0038411430776143355,alf,ALF,velocity_dispersion,2000,50
shared evaluation seed,0.008933683486674431,0.008244667838645801,0.08163265306122448,7.0,0.008591914196776657,alf,ALF,control_energy,2000,50
shared evaluation seed,0.0023660478164210293,0.001975157762682315,0.08163265306122448,7.0,0.0021675404421489016,alf,ALF,radius_temporal_variation,2000,50
shared evaluation seed,0.0028568521617344383,0.0024080938214300447,0.08163265306122448,7.0,0.002628366597755285,alf,ALF,radius_command_temporal_variation,2000,50
shared evaluation seed,0.0,0.0,0.08163265306122448,7.0,0.0,alf,ALF,radius_min_saturation_fraction,2000,50
shared evaluation seed,0.15061582711442786,0.10957571517412937,0.08163265306122448,7.0,0.13063432835820896,alf,ALF,radius_max_saturation_fraction,2000,50
shared evaluation seed,2.368252487562189,2.139712997512438,0.08163265306122448,7.0,2.2556716417910447,alf,ALF,mean_degree_error,2000,50
shared evaluation seed,7.577133395522388,6.507917288557214,0.08163265306122448,7.0,7.027201492537314,alf,ALF,mean_degree_error_sq,2000,50
shared evaluation seed,0.0006375,0.00039375,0.08163265306122448,7.0,0.0005124999999999999,alf,ALF,radius_oscillation_frequency,2000,50
shared evaluation seed,0.0,0.0,0.04938271604938271,9.0,0.0,alf,ALF,final_fragmentation,2000,50
shared evaluation seed,0.0,0.0,0.04938271604938271,9.0,0.0,alf,ALF,mean_fragmentation,2000,50
shared evaluation seed,1.0,0.98125,0.04938271604938271,9.0,0.99375,alf,ALF,final_largest_scc_fraction,2000,50
shared evaluation seed,1.0,0.982276119402985,0.04938271604938271,9.0,0.994092039800995,alf,ALF,mean_largest_scc_fraction,2000,50
shared evaluation seed,6.99128125,6.685403140547264,0.04938271604938271,9.0,6.829135572139303,alf,ALF,mean_degree,2000,50
shared evaluation seed,6.5706099582211674,6.354286607633591,0.04938271604938271,9.0,6.463286581247982,alf,ALF,mean_radius,2000,50
shared evaluation seed,140.37518303770074,131.45708122461687,0.04938271604938271,9.0,135.86175183815843,alf,ALF,mean_interaction_area,2000,50
shared evaluation seed,0.0032124999999999996,0.00248125,0.04938271604938271,9.0,0.00285,alf,ALF,neighbor_loss_rate,2000,50
shared evaluation seed,0.9908007668554597,0.9874015705177851,0.04938271604938271,9.0,0.9892865605388043,alf,ALF,polar_order,2000,50
shared evaluation seed,0.004191967355062825,0.0036917572606580172,0.04938271604938271,9.0,0.00393478416650335,alf,ALF,velocity_dispersion,2000,50
shared evaluation seed,0.008996349752824177,0.008269140241589286,0.04938271604938271,9.0,0.008632558251394782,alf,ALF,control_energy,2000,50
shared evaluation seed,0.0024137773926723592,0.0019303323691393503,0.04938271604938271,9.0,0.002177349254010074,alf,ALF,radius_temporal_variation,2000,50
shared evaluation seed,0.0029335151092229838,0.0022997878931822016,0.04938271604938271,9.0,0.0026184370510870174,alf,ALF,radius_command_temporal_variation,2000,50
shared evaluation seed,0.0,0.0,0.04938271604938271,9.0,0.0,alf,ALF,radius_min_saturation_fraction,2000,50
shared evaluation seed,0.23568034825870646,0.17909001865671642,0.04938271604938271,9.0,0.20691542288557216,alf,ALF,radius_max_saturation_fraction,2000,50
shared evaluation seed,3.7263582089552236,3.4548230721393036,0.04938271604938271,9.0,3.5969776119402983,alf,ALF,mean_degree_error,2000,50
shared evaluation seed,15.559472014925372,13.929572139303481,0.04938271604938271,9.0,14.709987562189056,alf,ALF,mean_degree_error_sq,2000,50
shared evaluation seed,0.000375,0.00016875,0.04938271604938271,9.0,0.0002625,alf,ALF,radius_oscillation_frequency,2000,50
shared evaluation seed,0.0,0.0,0.03305785123966942,11.0,0.0,alf,ALF,final_fragmentation,2000,50
shared evaluation seed,0.0,0.0,0.03305785123966942,11.0,0.0,alf,ALF,mean_fragmentation,2000,50
shared evaluation seed,1.0,0.98875,0.03305785123966942,11.0,0.99625,alf,ALF,final_largest_scc_fraction,2000,50
shared evaluation seed,1.0,0.9912002487562189,0.03305785123966942,11.0,0.9970646766169154,alf,ALF,mean_largest_scc_fraction,2000,50
shared evaluation seed,5.573770055970148,5.308154228855722,0.03305785123966942,11.0,5.442213930348259,alf,ALF,mean_degree,2000,50
shared evaluation seed,7.268851398230851,7.073430846295132,0.03305785123966942,11.0,7.169669607113417,alf,ALF,mean_radius,2000,50
shared evaluation seed,168.8259106567134,160.444254803186,0.03305785123966942,11.0,164.6167875382949,alf,ALF,mean_interaction_area,2000,50
shared evaluation seed,0.00235625,0.0017125,0.03305785123966942,11.0,0.0020375000000000002,alf,ALF,neighbor_loss_rate,2000,50
shared evaluation seed,0.9887183435023572,0.983536316927821,0.03305785123966942,11.0,0.9863399263143635,alf,ALF,polar_order,2000,50
shared evaluation seed,0.00447758185816134,0.00392960942321406,0.03305785123966942,11.0,0.004202570895718648,alf,ALF,velocity_dispersion,2000,50
shared evaluation seed,0.00906719526716077,0.008426223732763997,0.03305785123966942,11.0,0.008735609946861725,alf,ALF,control_energy,2000,50
shared evaluation seed,0.001881579230737097,0.0013913358459137384,0.03305785123966942,11.0,0.0016292087702387747,alf,ALF,radius_temporal_variation,2000,50
shared evaluation seed,0.002405858246593588,0.0016925899104321374,0.03305785123966942,11.0,0.0020408374598565693,alf,ALF,radius_command_temporal_variation,2000,50
shared evaluation seed,0.0,0.0,0.03305785123966942,11.0,0.0,alf,ALF,radius_min_saturation_fraction,2000,50
shared evaluation seed,0.4846400808457711,0.39435867537313435,0.03305785123966942,11.0,0.44095771144278606,alf,ALF,radius_max_saturation_fraction,2000,50
shared evaluation seed,4.5125065298507465,4.299463930348258,0.03305785123966942,11.0,4.406828358208956,alf,ALF,mean_degree_error,2000,50
shared evaluation seed,21.535896766169152,19.786206156716418,0.03305785123966942,11.0,20.701405472636814,alf,ALF,mean_degree_error_sq,2000,50
shared evaluation seed,0.00044374999999999997,0.00014375,0.03305785123966942,11.0,0.00028125000000000003,alf,ALF,radius_oscillation_frequency,2000,50
shared evaluation seed,0.0,0.0,0.02040816326530612,14.0,0.0,alf,ALF,final_fragmentation,2000,50
shared evaluation seed,0.003004197761194027,0.0007151741293532339,0.02040816326530612,14.0,0.0017412935323383083,alf,ALF,mean_fragmentation,2000,50
shared evaluation seed,1.0,0.98625,0.02040816326530612,14.0,0.995,alf,ALF,final_largest_scc_fraction,2000,50
shared evaluation seed,0.9976559390547264,0.9832078669154227,0.02040816326530612,14.0,0.9920335820895523,alf,ALF,mean_largest_scc_fraction,2000,50
shared evaluation seed,4.088837375621891,3.833337064676617,0.02040816326530612,14.0,3.953837064676617,alf,ALF,mean_degree,2000,50
shared evaluation seed,7.718633288619544,7.579040775495911,0.02040816326530612,14.0,7.652219273136269,alf,ALF,mean_radius,2000,50
shared evaluation seed,188.28978417141127,182.44964614810627,0.02040816326530612,14.0,185.41141092043134,alf,ALF,mean_interaction_area,2000,50
shared evaluation seed,0.00149375,0.0010375,0.02040816326530612,14.0,0.0012562500000000002,alf,ALF,neighbor_loss_rate,2000,50
shared evaluation seed,0.9792011481210845,0.9555287992848115,0.02040816326530612,14.0,0.969311020087207,alf,ALF,polar_order,2000,50
shared evaluation seed,0.006730762913699203,0.005302520547057609,0.02040816326530612,14.0,0.005953629822019749,alf,ALF,velocity_dispersion,2000,50
shared evaluation seed,0.010298884930536815,0.009355532809703667,0.02040816326530612,14.0,0.009820461150625364,alf,ALF,control_energy,2000,50
shared evaluation seed,0.0008671219624824955,0.00046993752590467156,0.02040816326530612,14.0,0.0006594219964198788,alf,ALF,radius_temporal_variation,2000,50
shared evaluation seed,0.0011669270923146025,0.0006639309408836326,0.02040816326530612,14.0,0.0009099228594871063,alf,ALF,radius_command_temporal_variation,2000,50
shared evaluation seed,0.0,0.0,0.02040816326530612,14.0,0.0,alf,ALF,radius_min_saturation_fraction,2000,50
