command_clip_fraction_mean,contact_break_rate_mean,controller_wall_s_per_agent_step_mean,count_threshold_crossing_rate_mean,density,geometry,mean_abs_command_update_mean,mean_abs_radius_update_mean,mean_fragmentation_mean,mean_largest_scc_fraction_mean,method,n_agents,n_episodes,neighbor_loss_rate_mean,radius_max_saturation_fraction_mean
0.0034172885572139305,0.00553125,0.0001098189110694735,0.00023125,0.05,clustered,0.4754069009866705,0.002140368200369501,0.1787842039800995,0.7637842039800995,alf,32,50,0.004975,0.0012531094527363186
0.006585820895522388,0.004271875,0.00010772914552230352,0.0005625000000000001,0.05,elongated,0.648836145975136,0.0024246899642726668,0.043429726368159206,0.9003389303482586,alf,32,50,0.0038343749999999997,0.0019931592039800993
0.2793998756218905,0.00409375,0.00010679506187818053,0.000184375,0.05,uniform,1.3985240429389234,0.002739738119752327,0.0,1.0,alf,32,50,0.00385625,0.21383084577114428
0.0,0.00588125,0.0001087504847635781,3.4375e-05,0.08,clustered,0.2584156449650465,0.001761420418785844,0.21009950248756218,0.7720708955223882,alf,32,50,0.005284375,0.0
0.0023289800995024874,0.004484375,0.00010957582773686517,0.000278125,0.08,elongated,0.5019966614933257,0.0019344120105200978,0.02474813432835821,0.9413370646766169,alf,32,50,0.0039125,0.000625
0.08643967661691543,0.0055000000000000005,0.00010753213899232407,0.001025,0.08,uniform,1.362671682509209,0.0030361301753765134,0.0,1.0,alf,32,50,0.005034375,0.05487562189054726
0.0,0.006603125,0.0001124960171018383,6.25e-06,0.12,clustered,0.20533760118382838,0.0020537658679840288,0.14283582089552238,0.84574315920398,alf,32,50,0.006009375,0.0
0.0002705223880597015,0.0048375,0.00010400011349453953,8.125e-05,0.12,elongated,0.4024059657686789,0.0017156605858932145,0.016840796019900496,0.9683644278606965,alf,32,50,0.0040625,0.0
0.01851990049751244,0.005849999999999999,0.00010846375497483416,0.0015968750000000002,0.12,uniform,1.0298866109589777,0.0028196680616255844,0.0,1.0,alf,32,50,0.005171875,0.0051337064676616915
2.4875621890547263e-05,0.0027218750000000003,0.00010835891200276164,0.010084375000000001,0.05,clustered,0.38767314825477606,0.005204729254469715,0.1648134328358209,0.7998165422885571,crdf,32,50,0.0022,9.328358208955224e-06
1.554726368159204e-05,0.002446875,0.0001041763137437495,0.019175,0.05,elongated,0.43646491530938714,0.005451790424340768,0.04044465174129353,0.9345087064676616,crdf,32,50,0.002003125,1.554726368159204e-05
0.004057835820895523,0.01094375,0.00010192137997499806,0.038509375,0.05,uniform,0.7041277966730689,0.022892182460652274,0.0014365671641791045,0.9844216417910449,crdf,32,50,0.010759375,0.0014583333333333334
2.4875621890547263e-05,0.002625,0.00010571592630587058,0.001765625,0.08,clustered,0.2921291224403945,0.004157215767455869,0.12215796019900499,0.8560727611940299,crdf,32,50,0.0021375,0.0
0.00030783582089552236,0.002575,0.00010920187064650362,0.009721875,0.08,elongated,0.3844250143958451,0.004775999481147136,0.011069651741293533,0.9769682835820896,crdf,32,50,0.002021875,3.109452736318408e-06
0.0005503731343283582,0.01005625,0.00010209718283601266,0.09670625,0.08,uniform,0.5561209481439482,0.01549909430142597,0.0,0.9926305970149254,crdf,32,50,0.009765625,0.00046330845771144275
1.2437810945273631e-05,0.002625,0.00010665285696518368,0.00141875,0.12,clustered,0.2160432224134795,0.0034036046351761063,0.08953047263681592,0.8946082089552239,crdf,32,50,0.00219375,0.0
0.0,0.002215625,0.00010698553700216173,0.002871875,0.12,elongated,0.3290775983303855,0.004163539688648036,0.0007213930348258706,0.9976523631840796,crdf,32,50,0.001446875,0.0
7.151741293532337e-05,0.006175000000000001,0.000102766421641667,0.096459375,0.12,uniform,0.4525734591786879,0.009919101698703785,0.0,0.9994465174129352,crdf,32,50,0.0055875,7.151741293532337e-05
