agent_collision_rate,components,contact_break_rate,density,edge_persistence,final_edge_count,final_fragmentation,final_largest_scc_fraction,final_mean_in_degree,final_mean_out_degree,final_min_in_degree,final_min_out_degree,final_n_scc,final_normalized_comm_cost,final_rooted_fraction,final_sym_lambda2,fragmentation,half_width,largest_component_fraction,mean_degree,mean_edge_count,mean_fragmentation,mean_interaction_out_degree,mean_largest_component_fraction,mean_largest_scc_fraction,mean_min_in_degree,mean_min_out_degree,mean_n_scc,mean_normalized_comm_cost,mean_radius,mean_radius_footprint,mean_radius_sq,mean_rooted_fraction,mean_sym_lambda2,method,minimum_agent_distance,minimum_obstacle_clearance,n_agents,neighbor_loss_rate,obstacle_collision_rate,obstacle_proximity_rate,polar_order,radius_max_saturation_fraction,radius_temporal_variation,rollout_wall_s,seed,stardisplay_nc,steps,velocity_dispersion
0.0,1.0,0.000625,0.012345679012345678,0.999681224099458,44.0,0.0,1.0,2.75,2.75,1.0,1.0,1.0,0.18333333333333332,1.0,0.04768890249291613,0.0,18.0,1.0,2.685634328358209,42.97014925373134,0.08364427860696518,2.685634328358209,0.9163557213930348,0.9163557213930348,0.6915422885572139,0.6915422885572139,1.462686567164179,0.1790422885572139,7.928268862414817,1007.00592329695,62.93787020605937,0.6666666666666666,0.0319603660004802,alf,2.4812295154348547,36.0,16,0.000625,0.0,0.0,0.9615714956506645,0.9375,0.00040524248727473314,0.5861721000001126,20000,15.0,200,0.007792220580326426
0.0,1.0,0.00125,0.012345679012345678,0.999270149098113,46.0,0.0,1.0,2.875,2.875,1.0,1.0,1.0,0.19166666666666668,1.0,0.12243924293679653,0.0,18.0,1.0,2.71455223880597,43.43283582089552,0.09079601990049752,2.71455223880597,0.9092039800995025,0.9092039800995025,0.9900497512437811,0.9900497512437811,1.4477611940298507,0.18097014925373134,7.936345403288501,1008.7689480622689,63.04805925389181,0.7512437810945274,0.09461706709492812,alf,0.7176342221850609,36.0,16,0.00125,0.0,0.0,0.9267226643567825,0.9378109452736318,0.00033493649030260335,0.5473000000001775,20001,15.0,200,0.01617724432647138
0.0,1.0,0.0021875,0.012345679012345678,0.9991145833333335,44.0,0.0,1.0,2.75,2.75,1.0,1.0,1.0,0.18333333333333332,1.0,0.2826125330131555,0.0,18.0,1.0,2.6532960199004973,42.45273631840796,0.03513681592039801,2.6532960199004973,0.964863184079602,0.964863184079602,1.0,1.0,1.228855721393035,0.17688640132669983,7.93301270189225,1008.0,63.0,0.8706467661691543,0.23488786530199252,alf,2.499943761388224,36.0,16,0.0021875,0.0,0.0,0.92490191076033,0.9375,0.0,0.5760021999994933,20002,15.0,200,0.018502759014513634
0.0,1.0,0.000625,0.012345679012345678,0.9997916666666665,40.0,0.0,1.0,2.5,2.5,1.0,1.0,1.0,0.16666666666666666,1.0,0.05335998989453361,0.0,18.0,1.0,2.4944029850746268,39.91044776119403,0.008706467661691543,2.4944029850746268,0.9912935323383084,0.9912935323383084,1.0,1.0,1.064676616915423,0.16629353233830843,7.936345403288501,1008.7689480622689,63.04805925389181,0.9402985074626866,0.05021495447230147,alf,1.2188851760989892,36.0,16,0.000625,0.0,0.0,0.8804347489403666,0.9378109452736318,0.00033493649030260335,0.5728842000007717,20003,15.0,200,0.010002752239814132
0.0,1.0,0.0015625,0.012345679012345678,0.999632,50.0,0.0,0.75,3.125,3.125,0.0,1.0,4.0,0.20833333333333334,0.0,0.25903311962341646,0.0,18.0,1.0,3.1085199004975124,49.7363184079602,0.04042288557213931,3.1085199004975124,0.9595771144278606,0.6940298507462687,0.0,0.8208955223880597,4.358208955223881,0.2072346600331675,6.937759787631364,785.1153310903685,49.06970819314803,0.0,0.2003835437758091,alf,1.0788719612403586,36.0,16,0.0015625,0.0,0.0,0.9512774800197008,0.37531094527363185,0.0009690689100768279,0.5495248000006541,20004,15.0,200,0.011818378031838935
0.0,1.0,0.0,0.012345679012345678,1.0,58.0,0.0,1.0,3.625,3.625,1.0,2.0,1.0,0.24166666666666667,1.0,0.5610301016369172,0.0,18.0,1.0,3.447139303482587,55.15422885572139,0.04477611940298507,3.447139303482587,0.9552238805970149,0.9524253731343284,0.9701492537313433,1.855721393034826,1.1592039800995024,0.22980928689883914,7.598076211353353,928.0,58.0,0.8855721393034826,0.46095390897188077,alf,0.7149506591574097,36.0,16,0.0,0.0,0.0,0.8717126210155358,0.625,0.0,0.5904623999995238,20005,15.0,200,0.02226661735481339
0.0,1.0,0.0021875,0.012345679012345678,0.999517857142857,58.0,0.0,1.0,3.625,3.625,2.0,2.0,1.0,0.24166666666666667,1.0,0.40771624856506156,0.0,18.0,1.0,3.3504353233830844,53.60696517412935,0.0945273631840796,3.3504353233830844,0.9054726368159204,0.8815298507462687,1.1492537313432836,1.5820895522388059,1.771144278606965,0.22336235489220566,7.532568203807816,915.0647730837643,57.19154831773527,0.5845771144278606,0.23991405593890314,alf,2.325855101908343,36.0,16,0.0021875,0.0,0.0,0.9939782616030114,0.6259328358208955,0.0014021060271222421,0.5541331000003993,20006,15.0,200,0.011077055522149786
0.0,1.0,0.0,0.012345679012345678,1.0,34.0,0.0,1.0,2.125,2.125,1.0,1.0,1.0,0.14166666666666666,1.0,0.20181924610034935,0.0,18.0,1.0,2.08955223880597,33.43283582089552,0.013059701492537313,2.08955223880597,0.9869402985074627,0.9869402985074627,0.8756218905472637,0.8756218905472637,1.208955223880597,0.13930348258706468,8.0,1024.0,64.0,0.8756218905472637,0.1770646098390748,alf,2.172833530170501,36.0,16,0.0,0.0,0.0,0.9203396002218095,1.0,0.0,0.5037793999999849,20007,15.0,200,0.013578114045732266
0.0,1.0,0.0,0.012345679012345678,1.0,46.0,0.0,1.0,2.875,2.875,1.0,1.0,1.0,0.19166666666666668,1.0,0.184074618175703,0.0,18.0,1.0,2.6940298507462686,43.1044776119403,0.12779850746268656,2.6940298507462686,0.8722014925373134,0.8722014925373134,0.9701492537313433,0.9701492537313433,1.4328358208955223,0.17960199004975125,8.0,1024.0,64.0,0.6716417910447762,0.10053312607785156,alf,3.1102345686625315,36.0,16,0.0,0.0,0.0,0.9605633649558837,1.0,0.0,0.6404739999998128,20008,15.0,200,0.010428342639031352
0.0,1.0,0.0015625,0.012345679012345678,0.9994670846394985,60.0,0.0,1.0,3.75,3.75,1.0,1.0,1.0,0.25,1.0,0.2899662718876377,0.0,18.0,1.0,3.5559701492537314,56.8955223880597,0.15858208955223882,3.5559701492537314,0.8414179104477612,0.8414179104477612,0.9502487562189055,0.9502487562189055,1.462686567164179,0.2370646766169154,7.564850433903659,924.7379486241398,57.79612178900874,0.5920398009950248,0.14550596194803858,alf,1.829017574320574,36.0,16,0.0015625,0.0,0.0,0.9566751416594869,0.7058457711442786,0.0017994023952406777,0.630019700000048,20009,15.0,200,0.020794652302087067
0.0,1.0,0.0,0.012345679012345678,1.0,44.0,0.0,1.0,2.75,2.75,1.0,1.0,1.0,0.18333333333333332,1.0,0.30266995184827306,0.0,18.0,1.0,2.730410447761194,43.6865671641791,0.00404228855721393,2.730410447761194,0.9959577114427861,0.9931592039800995,0.9950248756218906,0.9950248756218906,1.0497512437810945,0.18202736318407958,7.99666729860372,1023.176908262285,63.94855676639281,0.9701492537313433,0.2921743042914596,alf,1.0096277344388476,36.0,16,0.0,0.0,0.0,0.9644902730519718,0.9375,0.0003349364903026031,0.6050061000005371,20010,15.0,200,0.008136700415338611
0.0,1.0,0.00125,0.012345679012345678,0.9996354166666667,45.0,0.0,1.0,2.8125,2.8125,2.0,2.0,1.0,0.1875,1.0,0.19273533019949632,0.0,18.0,1.0,2.787313432835821,44.59701492537314,0.014303482587064677,2.787313432835821,0.9856965174129353,0.9800995024875622,1.900497512437811,1.900497512437811,1.1194029850746268,0.18582089552238806,7.9933345972074425,1022.3538165245695,63.897113532785596,0.900497512437811,0.1738531880067617,alf,1.7928516567870276,36.0,16,0.00125,0.0,0.0,0.9527402446932719,0.875,0.0006698729806052062,0.630505399998583,20011,15.0,200,0.011687568934935486
0.0,1.0,0.0,0.012345679012345678,1.0,60.0,0.0,1.0,3.75,3.75,1.0,1.0,1.0,0.25,1.0,0.29724028634103256,0.0,18.0,1.0,3.6896766169154227,59.03482587064676,0.021144278606965175,3.6896766169154227,0.9788557213930348,0.9788557213930348,0.7611940298507462,0.7611940298507462,1.3383084577114428,0.24597844112769487,8.0,1024.0,64.0,0.7611940298507462,0.2264281880942236,alf,0.7635186805074293,36.0,16,0.0,0.0,0.0,0.9504758970217371,1.0,0.0,0.5346048999999766,20012,15.0,200,0.012805793273957988
0.0,1.0,0.0009375,0.012345679012345678,0.999738192480888,47.0,0.0,1.0,2.9375,2.9375,1.0,1.0,1.0,0.19583333333333333,1.0,0.31565684832559227,0.0,18.0,1.0,2.8799751243781095,46.07960199004975,0.0724502487562189,2.8799751243781095,0.9275497512437811,0.9275497512437811,0.9154228855721394,0.9154228855721394,1.263681592039801,0.19199834162520732,7.93301270189225,1008.0,63.0,0.8208955223880597,0.25481565213028723,alf,2.3173123712854506,36.0,16,0.0009375,0.0,0.0,0.8654004406687649,0.9375,0.0,0.5401956000005157,20013,15.0,200,0.010553956520068717
0.0,1.0,0.00125,0.012345679012345678,0.9995000526260394,44.0,0.0,1.0,2.75,2.75,1.0,1.0,1.0,0.18333333333333332,1.0,0.08039881169911856,0.0,18.0,1.0,2.628731343283582,42.059701492537314,0.08426616915422885,2.628731343283582,0.9157338308457711,0.9157338308457711,0.9154228855721394,0.9154228855721394,1.4577114427860696,0.17524875621890545,8.0,1024.0,64.0,0.6318407960199005,0.0509349889695225,alf,1.1334217008247711,36.0,16,0.00125,0.0,0.0,0.9827749483593716,1.0,0.0,0.5194752999996126,20014,15.0,200,0.013048306526423692
0.0,1.0,0.0009375,0.012345679012345678,0.9997551318120246,58.0,0.0,0.625,3.625,3.625,1.0,1.0,3.0,0.24166666666666667,0.0,0.15502144998460293,0.0,18.0,1.0,3.4608208955223883,55.37313432835821,0.08519900497512438,3.4608208955223883,0.9148009950248757,0.6536069651741293,0.9950248756218906,0.9950248756218906,2.771144278606965,0.23072139303482586,7.288145365286733,865.5158577939142,54.094741112119635,0.029228855721393034,0.107827507634531,alf,0.2752829029723815,36.0,16,0.000625,0.0,0.0,0.9060751426366468,0.625,0.0007945931124288641,0.5408843999994133,20015,15.0,200,0.017524322833744107
0.0,1.0,0.000625,0.012345679012345678,0.9998307952622674,46.0,0.0,1.0,2.875,2.875,2.0,2.0,1.0,0.19166666666666668,1.0,0.05298736763378512,0.0,18.0,1.0,2.6884328358208953,43.014925373134325,0.2885572139303483,2.6884328358208953,0.7114427860696517,0.7114427860696517,1.1144278606965174,1.1144278606965174,2.0049751243781095,0.17922885572139302,8.0,1024.0,64.0,0.25870646766169153,0.013755990163170218,alf,2.7837897639576417,36.0,16,0.000625,0.0,0.0,0.9350528685956347,1.0,0.0,0.5046301999991556,20016,15.0,200,0.020210357775619726
0.0,1.0,0.001875,0.012345679012345678,0.9992414731115297,38.0,0.0,1.0,2.375,2.375,1.0,1.0,1.0,0.15833333333333333,1.0,0.09944655900463023,0.0,18.0,1.0,2.343905472636816,37.50248756218905,0.07307213930348258,2.343905472636816,0.9269278606965174,0.9269278606965174,0.9502487562189055,0.9502487562189055,1.3333333333333333,0.1562603648424544,8.0,1024.0,64.0,0.8059701492537313,0.08099018029227335,alf,2.6997856404968417,36.0,16,0.001875,0.0,0.0,0.9790858981633853,1.0,0.0,0.4849966999991011,20017,15.0,200,0.017413813290979897
0.0,1.0,0.0009375,0.012345679012345678,0.9997674172745532,50.0,0.0,1.0,3.125,3.125,1.0,1.0,1.0,0.20833333333333334,1.0,0.14278622691553353,0.0,18.0,1.0,2.9993781094527363,47.99004975124378,0.08022388059701492,2.9993781094527363,0.9197761194029851,0.9197761194029851,0.7761194029850746,0.7761194029850746,1.5870646766169154,0.19995854063018242,7.937678483842841,1009.0726705198721,63.067041907492005,0.7661691542288557,0.10334806969380048,alf,1.5343103138582503,36.0,16,0.0009375,0.0,0.0,0.8769787521408431,0.9375,0.0005166275286881511,0.5287770999984787,20018,15.0,200,0.016411356234831892
0.0,1.0,0.0,0.012345679012345678,1.0,51.0,0.0,1.0,3.1875,3.1875,2.0,2.0,1.0,0.2125,1.0,0.4024622275551676,0.0,18.0,1.0,2.990049751243781,47.840796019900495,0.08582089552238806,2.990049751243781,0.914179104477612,0.914179104477612,1.4975124378109452,1.626865671641791,1.4029850746268657,0.19933665008291873,7.7195787943777,960.0,60.0,0.8109452736318408,0.2925209689947972,alf,2.130206656093064,36.0,16,0.0,0.0,0.0,0.9448884064517499,0.8125,0.0,0.5170025999996142,20019,15.0,200,0.012352956930159968
0.0,2.0,0.0,0.012345679012345678,1.0,42.0,0.0625,0.9375,2.625,2.625,0.0,0.0,2.0,0.175,0.0,0.0017395220462664031,0.0625,18.0,0.9375,2.567786069651741,41.08457711442786,0.08768656716417911,2.567786069651741,0.9123134328358209,0.9123134328358209,0.0,0.0,2.263681592039801,0.17118573797678274,7.795705404280377,975.1769082622848,60.9485567663928,0.0,0.0014571203029233595,alf,2.080669739529604,36.0,16,0.0,0.0,0.0,0.9666508216259027,0.75,0.0003349364903026031,0.5368313999988459,20020,15.0,200,0.027217918463425392
0.0,1.0,0.0,0.012345679012345678,1.0,50.0,0.0,1.0,3.125,3.125,1.0,1.0,1.0,0.20833333333333334,1.0,0.21835705115531504,0.0,18.0,1.0,3.012437810945274,48.19900497512438,0.026741293532338308,3.012437810945274,0.9732587064676617,0.9732587064676617,1.0,1.0,1.1343283582089552,0.20082918739635158,8.0,1024.0,64.0,0.9203980099502488,0.18337471073903241,alf,1.3250342646664928,36.0,16,0.0,0.0,0.0,0.9415094390463561,1.0,0.0,0.5609860999993543,20021,15.0,200,0.012992209358203726
0.0,1.0,0.000625,0.012345679012345678,0.9998330202462952,52.0,0.0,1.0,3.25,3.25,2.0,2.0,1.0,0.21666666666666667,1.0,0.15008145012254598,0.0,18.0,1.0,3.1162935323383083,49.86069651741293,0.038868159203980096,3.1162935323383083,0.9611318407960199,0.9611318407960199,1.7014925373134329,1.7014925373134329,1.2039800995024876,0.20775290215588724,7.936678673428079,1008.8480086155056,63.0530005384691,0.9054726368159204,0.1242702752237941,alf,0.619560265242839,36.0,16,0.000625,0.0,0.0,0.9078929363319616,0.9378109452736318,0.0003416352200842082,0.5604229000000487,20022,15.0,200,0.039258958296900695
0.0,1.0,0.0,0.012345679012345678,1.0,56.0,0.0,1.0,3.5,3.5,1.0,1.0,1.0,0.23333333333333334,1.0,0.3643281380091506,0.0,18.0,1.0,3.2667910447761193,52.26865671641791,0.04477611940298507,3.2667910447761193,0.9552238805970149,0.9552238805970149,0.9950248756218906,0.9950248756218906,1.2587064676616915,0.2177860696517413,8.0,1024.0,64.0,0.8855721393034826,0.297524091464895,alf,0.8189286163701148,36.0,16,0.0,0.0,0.0,0.9359332415211369,1.0,0.0,0.5576428999993368,20023,15.0,200,0.030475408794780355
0.0,1.0,0.00125,0.012345679012345678,0.9993897909370688,52.0,0.0,1.0,3.25,3.25,1.0,1.0,1.0,0.21666666666666667,1.0,0.4252888860247338,0.0,18.0,1.0,3.1259328358208953,50.014925373134325,0.041355721393034825,3.1259328358208953,0.9586442786069652,0.9586442786069652,0.7064676616915423,0.7064676616915423,1.4029850746268657,0.20839552238805972,7.795705404280377,975.1769082622848,60.9485567663928,0.7014925373134329,0.29576531411380946,alf,0.7363585267821777,36.0,16,0.00125,0.0,0.0,0.828376155795279,0.75,0.0003349364903026031,0.5176441000003251,20024,15.0,200,0.013801347660021522
