method,method_label,half_width,density,metric,mean,ci95_low,ci95_high,n_seeds,n_bootstrap,bootstrap_unit
alf,ALF,7.0,0.08163265306122448,mean_sym_lambda2,3.9641840542429883,3.694567767760721,4.210915803552877,50,2000,shared evaluation seed
alf,ALF,7.0,0.08163265306122448,mean_min_in_degree,3.710348258706468,3.4387661691542295,3.9944303482587062,50,2000,shared evaluation seed
alf,ALF,9.0,0.04938271604938271,mean_sym_lambda2,3.278150295178549,3.0513566692914043,3.531868219928232,50,2000,shared evaluation seed
alf,ALF,9.0,0.04938271604938271,mean_min_in_degree,3.7371144278606967,3.437669154228856,4.036452736318409,50,2000,shared evaluation seed
alf,ALF,11.0,0.03305785123966942,mean_sym_lambda2,1.6193849383254055,1.484413240976153,1.7556094038769494,50,2000,shared evaluation seed
alf,ALF,11.0,0.03305785123966942,mean_min_in_degree,2.6692537313432836,2.4366144278606967,2.88968407960199,50,2000,shared evaluation seed
alf,ALF,14.0,0.02040816326530612,mean_sym_lambda2,0.4822632718364032,0.42332991352013954,0.5450715908241677,50,2000,shared evaluation seed
alf,ALF,14.0,0.02040816326530612,mean_min_in_degree,1.5900497512437812,1.4168333333333334,1.763089552238806,50,2000,shared evaluation seed
alf,ALF,18.0,0.012345679012345678,mean_sym_lambda2,0.14783793972177592,0.12513587043595745,0.17026982464119672,50,2000,shared evaluation seed
alf,ALF,18.0,0.012345679012345678,mean_min_in_degree,1.024776119402985,0.9347089552238806,1.1328482587064677,50,2000,shared evaluation seed
alf,ALF,23.0,0.007561436672967864,mean_sym_lambda2,0.05219502985253265,0.035903614350428666,0.06913079970807648,50,2000,shared evaluation seed
alf,ALF,23.0,0.007561436672967864,mean_min_in_degree,0.7868656716417911,0.6977064676616915,0.864679104477612,50,2000,shared evaluation seed
alf,ALF,30.0,0.0044444444444444444,mean_sym_lambda2,0.007304586558388873,0.003089982019084378,0.012950980513824085,50,2000,shared evaluation seed
alf,ALF,30.0,0.0044444444444444444,mean_min_in_degree,0.4753233830845771,0.39273134328358206,0.5571169154228857,50,2000,shared evaluation seed
crdf,Current-radius feedback,7.0,0.08163265306122448,mean_sym_lambda2,1.8024530153380738,1.6984724952615498,1.9069079992363225,50,2000,shared evaluation seed
crdf,Current-radius feedback,7.0,0.08163265306122448,mean_min_in_degree,2.5087562189054724,2.288062189054726,2.7377388059701495,50,2000,shared evaluation seed
crdf,Current-radius feedback,9.0,0.04938271604938271,mean_sym_lambda2,0.9692254289603816,0.8979691252891909,1.0452433909250516,50,2000,shared evaluation seed
crdf,Current-radius feedback,9.0,0.04938271604938271,mean_min_in_degree,1.7218905472636816,1.507258706467662,1.915134328358209,50,2000,shared evaluation seed
crdf,Current-radius feedback,11.0,0.03305785123966942,mean_sym_lambda2,0.5575606318094557,0.5048363892631744,0.6141554089924277,50,2000,shared evaluation seed
crdf,Current-radius feedback,11.0,0.03305785123966942,mean_min_in_degree,1.3087562189054724,1.130139303482587,1.5036940298507462,50,2000,shared evaluation seed
crdf,Current-radius feedback,14.0,0.02040816326530612,mean_sym_lambda2,0.2613797166841005,0.22687385325493276,0.2958634582838643,50,2000,shared evaluation seed
crdf,Current-radius feedback,14.0,0.02040816326530612,mean_min_in_degree,0.8930348258706468,0.7516268656716417,1.028363184079602,50,2000,shared evaluation seed
crdf,Current-radius feedback,18.0,0.012345679012345678,mean_sym_lambda2,0.09793598510435789,0.07967685077987324,0.11670143023433815,50,2000,shared evaluation seed
crdf,Current-radius feedback,18.0,0.012345679012345678,mean_min_in_degree,0.46646766169154225,0.31840298507462683,0.6084776119402984,50,2000,shared evaluation seed
crdf,Current-radius feedback,23.0,0.007561436672967864,mean_sym_lambda2,0.04728749926047263,0.03245998894627406,0.06311343151721792,50,2000,shared evaluation seed
crdf,Current-radius feedback,23.0,0.007561436672967864,mean_min_in_degree,0.30447761194029854,0.1999900497512438,0.41036815920398,50,2000,shared evaluation seed
crdf,Current-radius feedback,30.0,0.0044444444444444444,mean_sym_lambda2,0.004571025761394001,0.0013967334856437737,0.008759929261714811,50,2000,shared evaluation seed
crdf,Current-radius feedback,30.0,0.0044444444444444444,mean_min_in_degree,0.26298507462686566,0.1733333333333333,0.3545398009950248,50,2000,shared evaluation seed
crmf,Current-radius multiplicative,7.0,0.08163265306122448,mean_sym_lambda2,3.4865176875712085,3.3038958549463637,3.672641818124261,50,2000,shared evaluation seed
crmf,Current-radius multiplicative,7.0,0.08163265306122448,mean_min_in_degree,3.408557213930348,3.183293532338308,3.632654228855721,50,2000,shared evaluation seed
crmf,Current-radius multiplicative,9.0,0.04938271604938271,mean_sym_lambda2,3.174458315853313,2.991484580523344,3.351796134225442,50,2000,shared evaluation seed
crmf,Current-radius multiplicative,9.0,0.04938271604938271,mean_min_in_degree,3.3040796019900496,3.0571044776119405,3.536875621890547,50,2000,shared evaluation seed
crmf,Current-radius multiplicative,11.0,0.03305785123966942,mean_sym_lambda2,1.70211612595909,1.5684984334001204,1.8321182623098262,50,2000,shared evaluation seed
crmf,Current-radius multiplicative,11.0,0.03305785123966942,mean_min_in_degree,2.826169154228856,2.5827810945273626,3.058223880597015,50,2000,shared evaluation seed
crmf,Current-radius multiplicative,14.0,0.02040816326530612,mean_sym_lambda2,0.4816337505620426,0.4268139399709417,0.5355658499925291,50,2000,shared evaluation seed
crmf,Current-radius multiplicative,14.0,0.02040816326530612,mean_min_in_degree,1.6485572139303484,1.466641791044776,1.8338383084577115,50,2000,shared evaluation seed
crmf,Current-radius multiplicative,18.0,0.012345679012345678,mean_sym_lambda2,0.14726524321431853,0.12339228095490921,0.17193702615099707,50,2000,shared evaluation seed
crmf,Current-radius multiplicative,18.0,0.012345679012345678,mean_min_in_degree,1.0754228855721393,0.9883532338308457,1.1716492537313432,50,2000,shared evaluation seed
crmf,Current-radius multiplicative,23.0,0.007561436672967864,mean_sym_lambda2,0.053015816885646515,0.03676296200187982,0.07051331143609933,50,2000,shared evaluation seed
crmf,Current-radius multiplicative,23.0,0.007561436672967864,mean_min_in_degree,0.815820895522388,0.7447711442786069,0.8839875621890545,50,2000,shared evaluation seed
crmf,Current-radius multiplicative,30.0,0.0044444444444444444,mean_sym_lambda2,0.007249460128050198,0.0030230189259339998,0.012871289029050976,50,2000,shared evaluation seed
crmf,Current-radius multiplicative,30.0,0.0044444444444444444,mean_min_in_degree,0.4766169154228856,0.3887512437810945,0.5590124378109452,50,2000,shared evaluation seed
fixed_r4,Fixed r=4,7.0,0.08163265306122448,mean_sym_lambda2,0.5270733657128108,0.47148666266738537,0.5845802249353372,50,2000,shared evaluation seed
fixed_r4,Fixed r=4,7.0,0.08163265306122448,mean_min_in_degree,1.7048756218905472,1.545355721393035,1.8639875621890547,50,2000,shared evaluation seed
fixed_r4,Fixed r=4,9.0,0.04938271604938271,mean_sym_lambda2,0.20815650848181455,0.1747577618751153,0.24235072645436695,50,2000,shared evaluation seed
fixed_r4,Fixed r=4,9.0,0.04938271604938271,mean_min_in_degree,1.160597014925373,1.0609850746268656,1.2690671641791045,50,2000,shared evaluation seed
fixed_r4,Fixed r=4,11.0,0.03305785123966942,mean_sym_lambda2,0.09799107926422199,0.07550839600672249,0.12288402112120873,50,2000,shared evaluation seed
fixed_r4,Fixed r=4,11.0,0.03305785123966942,mean_min_in_degree,0.9229850746268657,0.8541293532338308,0.9984104477611939,50,2000,shared evaluation seed
fixed_r4,Fixed r=4,14.0,0.02040816326530612,mean_sym_lambda2,0.04086746219176789,0.025485727653033054,0.058163778256827704,50,2000,shared evaluation seed
fixed_r4,Fixed r=4,14.0,0.02040816326530612,mean_min_in_degree,0.652636815920398,0.5702462686567165,0.7363358208955222,50,2000,shared evaluation seed
fixed_r4,Fixed r=4,18.0,0.012345679012345678,mean_sym_lambda2,0.0023915132735571475,0.0006877135983456759,0.004779335858382489,50,2000,shared evaluation seed
fixed_r4,Fixed r=4,18.0,0.012345679012345678,mean_min_in_degree,0.4841791044776119,0.3990049751243781,0.5647786069651741,50,2000,shared evaluation seed
fixed_r4,Fixed r=4,23.0,0.007561436672967864,mean_sym_lambda2,0.0003921250563215557,1.5443418494460895e-05,0.0009425941099152506,50,2000,shared evaluation seed
fixed_r4,Fixed r=4,23.0,0.007561436672967864,mean_min_in_degree,0.24965174129353232,0.17253731343283582,0.33085572139303476,50,2000,shared evaluation seed
fixed_r4,Fixed r=4,30.0,0.0044444444444444444,mean_sym_lambda2,2.686290904012015e-10,4.449874583073084e-16,7.749089772670881e-10,50,2000,shared evaluation seed
fixed_r4,Fixed r=4,30.0,0.0044444444444444444,mean_min_in_degree,0.06427860696517412,0.028756218905472638,0.10717164179104474,50,2000,shared evaluation seed
fixed_r8,Maximum radius,7.0,0.08163265306122448,mean_sym_lambda2,7.590837163895002,7.290030943140552,7.885592572873283,50,2000,shared evaluation seed
fixed_r8,Maximum radius,7.0,0.08163265306122448,mean_min_in_degree,8.781492537313433,8.463674129353233,9.100798507462686,50,2000,shared evaluation seed
fixed_r8,Maximum radius,9.0,0.04938271604938271,mean_sym_lambda2,4.425972614410293,4.182937603834299,4.687691420025833,50,2000,shared evaluation seed
fixed_r8,Maximum radius,9.0,0.04938271604938271,mean_min_in_degree,5.938009950248756,5.658701492537313,6.216126865671642,50,2000,shared evaluation seed
fixed_r8,Maximum radius,11.0,0.03305785123966942,mean_sym_lambda2,1.7479409036151012,1.6095006654949917,1.9084509246584138,50,2000,shared evaluation seed
fixed_r8,Maximum radius,11.0,0.03305785123966942,mean_min_in_degree,3.2378109452736314,2.9826815920398015,3.496221393034826,50,2000,shared evaluation seed
fixed_r8,Maximum radius,14.0,0.02040816326530612,mean_sym_lambda2,0.43207894573201683,0.3749928982182778,0.4840774010244553,50,2000,shared evaluation seed
fixed_r8,Maximum radius,14.0,0.02040816326530612,mean_min_in_degree,1.6522388059701492,1.4895422885572138,1.8192139303482588,50,2000,shared evaluation seed
fixed_r8,Maximum radius,18.0,0.012345679012345678,mean_sym_lambda2,0.14751651049737544,0.12279353231967474,0.17318002077084585,50,2000,shared evaluation seed
fixed_r8,Maximum radius,18.0,0.012345679012345678,mean_min_in_degree,1.0875621890547265,1.0014850746268655,1.18568407960199,50,2000,shared evaluation seed
fixed_r8,Maximum radius,23.0,0.007561436672967864,mean_sym_lambda2,0.0516229438539921,0.03657868724450942,0.06809305881575164,50,2000,shared evaluation seed
fixed_r8,Maximum radius,23.0,0.007561436672967864,mean_min_in_degree,0.7940298507462686,0.72068407960199,0.8551293532338309,50,2000,shared evaluation seed
fixed_r8,Maximum radius,30.0,0.0044444444444444444,mean_sym_lambda2,0.0062360665588756005,0.002440284510921595,0.010767230374140952,50,2000,shared evaluation seed
fixed_r8,Maximum radius,30.0,0.0044444444444444444,mean_min_in_degree,0.47323383084577114,0.3903283582089552,0.5560223880597015,50,2000,shared evaluation seed
fixed_r8_retained,Maximum radius + retention,7.0,0.08163265306122448,mean_sym_lambda2,6.920013542951944,6.633746747352576,7.223517067931454,50,2000,shared evaluation seed
fixed_r8_retained,Maximum radius + retention,7.0,0.08163265306122448,mean_min_in_degree,8.197512437810946,7.8611592039801,8.535524875621888,50,2000,shared evaluation seed
fixed_r8_retained,Maximum radius + retention,9.0,0.04938271604938271,mean_sym_lambda2,4.656000835575066,4.422178118890229,4.922660287258429,50,2000,shared evaluation seed
fixed_r8_retained,Maximum radius + retention,9.0,0.04938271604938271,mean_min_in_degree,6.157412935323383,5.877798507462686,6.41941542288557,50,2000,shared evaluation seed
fixed_r8_retained,Maximum radius + retention,11.0,0.03305785123966942,mean_sym_lambda2,1.878044056949936,1.726247134162534,2.0414125987548015,50,2000,shared evaluation seed
fixed_r8_retained,Maximum radius + retention,11.0,0.03305785123966942,mean_min_in_degree,3.3776119402985074,3.1372960199004973,3.619111940298507,50,2000,shared evaluation seed
fixed_r8_retained,Maximum radius + retention,14.0,0.02040816326530612,mean_sym_lambda2,0.4691356762960703,0.4164538711379205,0.5244152095545713,50,2000,shared evaluation seed
fixed_r8_retained,Maximum radius + retention,14.0,0.02040816326530612,mean_min_in_degree,1.70726368159204,1.5522164179104478,1.891549751243781,50,2000,shared evaluation seed
fixed_r8_retained,Maximum radius + retention,18.0,0.012345679012345678,mean_sym_lambda2,0.14905454179752825,0.12549205542443093,0.1739604150119831,50,2000,shared evaluation seed
fixed_r8_retained,Maximum radius + retention,18.0,0.012345679012345678,mean_min_in_degree,1.0759203980099503,0.9882388059701492,1.176462686567164,50,2000,shared evaluation seed
fixed_r8_retained,Maximum radius + retention,23.0,0.007561436672967864,mean_sym_lambda2,0.052037126459663935,0.036071439125331395,0.06893992593297205,50,2000,shared evaluation seed
fixed_r8_retained,Maximum radius + retention,23.0,0.007561436672967864,mean_min_in_degree,0.8173134328358209,0.7435671641791046,0.8930597014925371,50,2000,shared evaluation seed
fixed_r8_retained,Maximum radius + retention,30.0,0.0044444444444444444,mean_sym_lambda2,0.007372488684751905,0.002984727523925606,0.013189601027556926,50,2000,shared evaluation seed
fixed_r8_retained,Maximum radius + retention,30.0,0.0044444444444444444,mean_min_in_degree,0.47691542288557215,0.38625870646766164,0.5618955223880596,50,2000,shared evaluation seed
knn_k6,Local-KNN K=6,7.0,0.08163265306122448,mean_sym_lambda2,2.7525692839336453,2.5949512807424746,2.9088096778508166,50,2000,shared evaluation seed
knn_k6,Local-KNN K=6,7.0,0.08163265306122448,mean_min_in_degree,2.8976119402985074,2.678584577114428,3.117422885572139,50,2000,shared evaluation seed
knn_k6,Local-KNN K=6,9.0,0.04938271604938271,mean_sym_lambda2,2.7579434532416935,2.611717850750668,2.9028473011530753,50,2000,shared evaluation seed
knn_k6,Local-KNN K=6,9.0,0.04938271604938271,mean_min_in_degree,2.8434825870646767,2.5865671641791046,3.0902512437810934,50,2000,shared evaluation seed
knn_k6,Local-KNN K=6,11.0,0.03305785123966942,mean_sym_lambda2,1.786063142931446,1.6747838098794763,1.8992733569524802,50,2000,shared evaluation seed
knn_k6,Local-KNN K=6,11.0,0.03305785123966942,mean_min_in_degree,2.658805970149254,2.4200995024875622,2.893641791044776,50,2000,shared evaluation seed
knn_k6,Local-KNN K=6,14.0,0.02040816326530612,mean_sym_lambda2,0.5270507476529641,0.4682125865674676,0.5866087761607658,50,2000,shared evaluation seed
knn_k6,Local-KNN K=6,14.0,0.02040816326530612,mean_min_in_degree,1.6496517412935325,1.4568134328358209,1.8501766169154228,50,2000,shared evaluation seed
knn_k6,Local-KNN K=6,18.0,0.012345679012345678,mean_sym_lambda2,0.15861129613784755,0.1353242580814413,0.18207430200729632,50,2000,shared evaluation seed
knn_k6,Local-KNN K=6,18.0,0.012345679012345678,mean_min_in_degree,1.0456716417910448,0.9689502487562189,1.1285597014925373,50,2000,shared evaluation seed
knn_k6,Local-KNN K=6,23.0,0.007561436672967864,mean_sym_lambda2,0.0460779523349179,0.03109529753873329,0.062487511723355926,50,2000,shared evaluation seed
knn_k6,Local-KNN K=6,23.0,0.007561436672967864,mean_min_in_degree,0.8308457711442786,0.7630796019900498,0.902092039800995,50,2000,shared evaluation seed
knn_k6,Local-KNN K=6,30.0,0.0044444444444444444,mean_sym_lambda2,0.005581928646000398,0.002848652031231045,0.00870205632951629,50,2000,shared evaluation seed
knn_k6,Local-KNN K=6,30.0,0.0044444444444444444,mean_min_in_degree,0.42786069651741293,0.3305398009950249,0.5234850746268657,50,2000,shared evaluation seed
