method,method_label,half_width,density,n_seeds,disconnected_fraction,multi_component_fraction,mean_lambda2,mean_min_in_degree
alf,ALF,7.0,0.08163265306122448,50,0.0,0.0,3.9641840542429883,3.710348258706468
alf,ALF,9.0,0.04938271604938271,50,0.0,0.0,3.278150295178549,3.7371144278606967
alf,ALF,11.0,0.03305785123966942,50,0.0,0.0,1.6193849383254055,2.6692537313432836
alf,ALF,14.0,0.02040816326530612,50,0.0,0.0,0.4822632718364032,1.5900497512437812
alf,ALF,18.0,0.012345679012345678,50,0.0,0.02,0.14783793972177592,1.024776119402985
alf,ALF,23.0,0.007561436672967864,50,0.0,0.24,0.05219502985253265,0.7868656716417911
alf,ALF,30.0,0.0044444444444444444,50,0.1,0.78,0.007304586558388873,0.4753233830845771
crdf,Current-radius feedback,7.0,0.08163265306122448,50,0.0,0.0,1.8024530153380738,2.5087562189054724
crdf,Current-radius feedback,9.0,0.04938271604938271,50,0.0,0.0,0.9692254289603816,1.7218905472636816
crdf,Current-radius feedback,11.0,0.03305785123966942,50,0.0,0.0,0.5575606318094557,1.3087562189054724
crdf,Current-radius feedback,14.0,0.02040816326530612,50,0.0,0.0,0.2613797166841005,0.8930348258706468
crdf,Current-radius feedback,18.0,0.012345679012345678,50,0.0,0.06,0.09793598510435789,0.46646766169154225
crdf,Current-radius feedback,23.0,0.007561436672967864,50,0.0,0.28,0.04728749926047263,0.30447761194029854
crdf,Current-radius feedback,30.0,0.0044444444444444444,50,0.08,0.86,0.004571025761394001,0.26298507462686566
crmf,Current-radius multiplicative,7.0,0.08163265306122448,50,0.0,0.0,3.4865176875712085,3.408557213930348
crmf,Current-radius multiplicative,9.0,0.04938271604938271,50,0.0,0.0,3.174458315853313,3.3040796019900496
crmf,Current-radius multiplicative,11.0,0.03305785123966942,50,0.0,0.0,1.70211612595909,2.826169154228856
crmf,Current-radius multiplicative,14.0,0.02040816326530612,50,0.0,0.0,0.4816337505620426,1.6485572139303484
crmf,Current-radius multiplicative,18.0,0.012345679012345678,50,0.0,0.04,0.14726524321431853,1.0754228855721393
crmf,Current-radius multiplicative,23.0,0.007561436672967864,50,0.0,0.24,0.053015816885646515,0.815820895522388
crmf,Current-radius multiplicative,30.0,0.0044444444444444444,50,0.1,0.78,0.007249460128050198,0.4766169154228856
fixed_r4,Fixed r=4,7.0,0.08163265306122448,50,0.0,0.0,0.5270733657128108,1.7048756218905472
fixed_r4,Fixed r=4,9.0,0.04938271604938271,50,0.0,0.0,0.20815650848181455,1.160597014925373
fixed_r4,Fixed r=4,11.0,0.03305785123966942,50,0.0,0.12,0.09799107926422199,0.9229850746268657
fixed_r4,Fixed r=4,14.0,0.02040816326530612,50,0.0,0.42,0.04086746219176789,0.652636815920398
fixed_r4,Fixed r=4,18.0,0.012345679012345678,50,0.06,0.82,0.0023915132735571475,0.4841791044776119
fixed_r4,Fixed r=4,23.0,0.007561436672967864,50,0.42,0.96,0.0003921250563215557,0.24965174129353232
fixed_r4,Fixed r=4,30.0,0.0044444444444444444,50,0.82,1.0,2.686290904012015e-10,0.06427860696517412
fixed_r8,Maximum radius,7.0,0.08163265306122448,50,0.0,0.0,7.590837163895002,8.781492537313433
fixed_r8,Maximum radius,9.0,0.04938271604938271,50,0.0,0.0,4.425972614410293,5.938009950248756
fixed_r8,Maximum radius,11.0,0.03305785123966942,50,0.0,0.0,1.7479409036151012,3.2378109452736314
fixed_r8,Maximum radius,14.0,0.02040816326530612,50,0.0,0.0,0.43207894573201683,1.6522388059701492
fixed_r8,Maximum radius,18.0,0.012345679012345678,50,0.0,0.04,0.14751651049737544,1.0875621890547265
fixed_r8,Maximum radius,23.0,0.007561436672967864,50,0.0,0.32,0.0516229438539921,0.7940298507462686
fixed_r8,Maximum radius,30.0,0.0044444444444444444,50,0.06,0.82,0.0062360665588756005,0.47323383084577114
fixed_r8_retained,Maximum radius + retention,7.0,0.08163265306122448,50,0.0,0.0,6.920013542951944,8.197512437810946
fixed_r8_retained,Maximum radius + retention,9.0,0.04938271604938271,50,0.0,0.0,4.656000835575066,6.157412935323383
fixed_r8_retained,Maximum radius + retention,11.0,0.03305785123966942,50,0.0,0.0,1.878044056949936,3.3776119402985074
fixed_r8_retained,Maximum radius + retention,14.0,0.02040816326530612,50,0.0,0.0,0.4691356762960703,1.70726368159204
fixed_r8_retained,Maximum radius + retention,18.0,0.012345679012345678,50,0.0,0.02,0.14905454179752825,1.0759203980099503
fixed_r8_retained,Maximum radius + retention,23.0,0.007561436672967864,50,0.0,0.24,0.052037126459663935,0.8173134328358209
fixed_r8_retained,Maximum radius + retention,30.0,0.0044444444444444444,50,0.1,0.78,0.007372488684751905,0.47691542288557215
knn_k6,Local-KNN K=6,7.0,0.08163265306122448,50,0.0,0.0,2.7525692839336453,2.8976119402985074
knn_k6,Local-KNN K=6,9.0,0.04938271604938271,50,0.0,0.0,2.7579434532416935,2.8434825870646767
knn_k6,Local-KNN K=6,11.0,0.03305785123966942,50,0.0,0.0,1.786063142931446,2.658805970149254
knn_k6,Local-KNN K=6,14.0,0.02040816326530612,50,0.0,0.0,0.5270507476529641,1.6496517412935325
knn_k6,Local-KNN K=6,18.0,0.012345679012345678,50,0.0,0.04,0.15861129613784755,1.0456716417910448
knn_k6,Local-KNN K=6,23.0,0.007561436672967864,50,0.0,0.36,0.0460779523349179,0.8308457711442786
knn_k6,Local-KNN K=6,30.0,0.0044444444444444444,50,0.08,0.76,0.005581928646000398,0.42786069651741293
