band,comparison,metric,paired_mean_difference,ci95_low,ci95_high,n_cells,n_bootstrap,bootstrap_unit
primary,maxR+retention - ALF,mean_sym_lambda2,0.9160856308530843,0.04983626586229088,2.04644228219661,5,2000,"cell-stratified, seed-paired"
primary,maxR+retention - ALF,final_sym_lambda2,0.9162485436102428,0.04616177286046519,2.0485184918502553,5,2000,"cell-stratified, seed-paired"
primary,maxR+retention - ALF,mean_min_in_degree,1.5568358208955224,0.20901492537313432,3.1865870646766172,5,2000,"cell-stratified, seed-paired"
primary,maxR+retention - ALF,final_min_in_degree,1.56,0.21200000000000002,3.2079999999999997,5,2000,"cell-stratified, seed-paired"
primary,maxR+retention - ALF,mean_n_scc,-0.033711442786069655,-0.0680995024875622,-0.009432835820895522,5,2000,"cell-stratified, seed-paired"
primary,Local-KNN - ALF,mean_sym_lambda2,-0.301916515081505,-0.8220527354096646,0.08674094345225489,5,2000,"cell-stratified, seed-paired"
primary,Local-KNN - ALF,final_sym_lambda2,-0.3021712371628082,-0.8208611874534416,0.08802957859929962,5,2000,"cell-stratified, seed-paired"
primary,Local-KNN - ALF,mean_min_in_degree,-0.3272636815920398,-0.7008159203980099,0.03010945273631841,5,2000,"cell-stratified, seed-paired"
primary,Local-KNN - ALF,final_min_in_degree,-0.336,-0.704,0.012,5,2000,"cell-stratified, seed-paired"
primary,Local-KNN - ALF,mean_n_scc,-0.028318407960199004,-0.08238805970149253,0.0059502487562188965,5,2000,"cell-stratified, seed-paired"
primary,CRDF - ALF,mean_sym_lambda2,-1.1606531442817505,-2.0006272233524225,-0.32067906521107825,5,2000,"cell-stratified, seed-paired"
primary,CRDF - ALF,final_sym_lambda2,-1.182188580213633,-2.0405217263006126,-0.35257911397026465,5,2000,"cell-stratified, seed-paired"
primary,CRDF - ALF,mean_min_in_degree,-1.1665273631840796,-1.6206368159203979,-0.7424477611940299,5,2000,"cell-stratified, seed-paired"
primary,CRDF - ALF,final_min_in_degree,-1.212,-1.656,-0.796,5,2000,"cell-stratified, seed-paired"
primary,CRDF - ALF,mean_n_scc,0.5219900497512439,0.10919402985074626,0.9347860696517414,5,2000,"cell-stratified, seed-paired"
primary,CRMF - ALF,mean_sym_lambda2,-0.09996587522902979,-0.290791978341378,0.03274885714899934,5,2000,"cell-stratified, seed-paired"
primary,CRMF - ALF,final_sym_lambda2,-0.09731428707590167,-0.28902914496497545,0.03516095760808723,5,2000,"cell-stratified, seed-paired"
primary,CRMF - ALF,mean_min_in_degree,-0.0937512437810945,-0.30847761194029844,0.09472636815920397,5,2000,"cell-stratified, seed-paired"
primary,CRMF - ALF,final_min_in_degree,-0.092,-0.312,0.1,5,2000,"cell-stratified, seed-paired"
primary,CRMF - ALF,mean_n_scc,-0.013950248756218905,-0.0450547263681592,0.009472636815920397,5,2000,"cell-stratified, seed-paired"
tuned,maxR+retention - ALF,mean_sym_lambda2,1.5307797159100005,0.2586591186245302,2.955829488708955,3,2000,"cell-stratified, seed-paired"
tuned,maxR+retention - ALF,final_sym_lambda2,1.5344672057772468,0.26377420944781754,2.9598603638576986,3,2000,"cell-stratified, seed-paired"
tuned,maxR+retention - ALF,mean_min_in_degree,2.538606965174129,0.7083582089552238,4.487164179104478,3,2000,"cell-stratified, seed-paired"
tuned,maxR+retention - ALF,final_min_in_degree,2.54,0.6999999999999998,4.5,3,2000,"cell-stratified, seed-paired"
tuned,maxR+retention - ALF,mean_n_scc,-0.011011608623548922,-0.01890547263681592,0.0,3,2000,"cell-stratified, seed-paired"
tuned,Local-KNN - ALF,mean_sym_lambda2,-0.5217144692133859,-1.211614770309343,0.1666782046060404,3,2000,"cell-stratified, seed-paired"
tuned,Local-KNN - ALF,final_sym_lambda2,-0.521581470170906,-1.2111154150422636,0.16786345498926156,3,2000,"cell-stratified, seed-paired"
tuned,Local-KNN - ALF,mean_min_in_degree,-0.5722719734660032,-0.8936318407960199,-0.010447761194029846,3,2000,"cell-stratified, seed-paired"
tuned,Local-KNN - ALF,final_min_in_degree,-0.5733333333333334,-0.9,-0.02,3,2000,"cell-stratified, seed-paired"
tuned,Local-KNN - ALF,mean_n_scc,-0.010215588723051406,-0.018706467661691536,0.00019900497512438165,3,2000,"cell-stratified, seed-paired"
