N=16 steps=200 seeds=50 k=6 beta=0.5 gain=2 r_max=min(8, L-dm)
    L   density |   fixed frag    fixed pol | adaptive frag  adaptive pol |     alf frag      alf pol
  7.0    0.0816 |        0.0000        0.9794 |        0.0000        0.9902 |        0.0000        0.9903
  9.0    0.0494 |        0.0000        0.9353 |        0.0000        0.9892 |        0.0000        0.9893
 11.0    0.0331 |        0.0338        0.8608 |        0.0000        0.9859 |        0.0000        0.9863
 14.0    0.0204 |        0.1187        0.7703 |        0.0000        0.9674 |        0.0000        0.9693
 18.0    0.0123 |        0.2650        0.5978 |        0.0100        0.9049 |        0.0025        0.9043
 23.0    0.0076 |        0.4213        0.4793 |        0.0862        0.7851 |        0.0650        0.7808
 30.0    0.0044 |        0.5763        0.3724 |        0.2612        0.6090 |        0.2462        0.6150
 40.0    0.0025 |        0.6937        0.3294 |        0.4437        0.4431 |        0.4587        0.4401
 50.0    0.0016 |        0.7588        0.2848 |        0.6025        0.3571 |        0.6000        0.3544
 60.0    0.0011 |        0.8013        0.2651 |        0.6987        0.2978 |        0.6975        0.2981
