bootstrap_unit,ci95_high,ci95_low,comparison,density,half_width,metric,n_bootstrap,n_pairs,paired_mean_difference,trajectory_source
shared replay trajectory seed,0.00023125,-0.0002562499999999,CRMF - ALF,0.0330578512396694,11.0,contact_break_rate,2000,50,-1.8750000000000005e-05,alf
shared replay trajectory seed,0.0034074286793615,0.0010484336753015,CRMF - ALF,0.0330578512396694,11.0,joint_unsaturated_mean_abs_realized_radius_update,2000,50,0.0020783221834408,alf
shared replay trajectory seed,0.002249160413094,0.0014991001004701,CRMF - ALF,0.0330578512396694,11.0,mean_abs_realized_radius_update,2000,50,0.0018825389857375,alf
shared replay trajectory seed,0.2750212997512437,0.1154090485074627,CRMF - ALF,0.0330578512396694,11.0,mean_interaction_degree,2000,50,0.1971641791044776,alf
shared replay trajectory seed,0.009267723880597,0.0001741293532338,CRMF - ALF,0.0330578512396694,11.0,mean_largest_scc_fraction,2000,50,0.0040174129353233,alf
shared replay trajectory seed,-0.00019984375,-0.00045,CRMF - ALF,0.0204081632653061,14.0,contact_break_rate,2000,50,-0.00031875,alf
shared replay trajectory seed,0.017596368761967,0.0035749683058505,CRMF - ALF,0.0204081632653061,14.0,joint_unsaturated_mean_abs_realized_radius_update,2000,41,0.0100314064311152,alf
shared replay trajectory seed,0.0015282908031311,0.0008084034325575,CRMF - ALF,0.0204081632653061,14.0,mean_abs_realized_radius_update,2000,50,0.0011585239115161,alf
shared replay trajectory seed,0.3157101990049751,0.2004673507462687,CRMF - ALF,0.0204081632653061,14.0,mean_interaction_degree,2000,50,0.255702736318408,alf
shared replay trajectory seed,0.0383843283582089,0.0075929726368159,CRMF - ALF,0.0204081632653061,14.0,mean_largest_scc_fraction,2000,50,0.0214116915422885,alf
shared replay trajectory seed,-4.374999999999999e-05,-0.0001875,CRMF - ALF,0.0123456790123456,18.0,contact_break_rate,2000,50,-0.0001125,alf
shared replay trajectory seed,0.0425796840090412,0.0017408399537788,CRMF - ALF,0.0123456790123456,18.0,joint_unsaturated_mean_abs_realized_radius_update,2000,13,0.0207263590845978,alf
shared replay trajectory seed,0.0009108572044292,0.000372315580444,CRMF - ALF,0.0123456790123456,18.0,mean_abs_realized_radius_update,2000,50,0.0006268336561234,alf
shared replay trajectory seed,0.207794776119403,0.1064892723880596,CRMF - ALF,0.0123456790123456,18.0,mean_interaction_degree,2000,50,0.1541293532338308,alf
shared replay trajectory seed,0.0528006840796019,0.0101082089552238,CRMF - ALF,0.0123456790123456,18.0,mean_largest_scc_fraction,2000,50,0.0293221393034825,alf
shared replay trajectory seed,0.000125,-0.0003249999999999,CRMF - ALF,0.0330578512396694,11.0,contact_break_rate,2000,50,-0.0001,crmf
shared replay trajectory seed,0.0035456061499354,0.0011777513918487,CRMF - ALF,0.0330578512396694,11.0,joint_unsaturated_mean_abs_realized_radius_update,2000,50,0.0022211478129495,crmf
shared replay trajectory seed,0.0022734156422466,0.0015691626936658,CRMF - ALF,0.0330578512396694,11.0,mean_abs_realized_radius_update,2000,50,0.0019276418003308,crmf
shared replay trajectory seed,0.3197125310945273,0.1589390547263681,CRMF - ALF,0.0330578512396694,11.0,mean_interaction_degree,2000,50,0.2387251243781094,crmf
shared replay trajectory seed,0.0070211442786069,3.109452736318463e-05,CRMF - ALF,0.0330578512396694,11.0,mean_largest_scc_fraction,2000,50,0.0031654228855721,crmf
shared replay trajectory seed,-0.00019375,-0.0004437499999999,CRMF - ALF,0.0204081632653061,14.0,contact_break_rate,2000,50,-0.00031875,crmf
shared replay trajectory seed,0.0168387736841209,0.0033750867383015,CRMF - ALF,0.0204081632653061,14.0,joint_unsaturated_mean_abs_realized_radius_update,2000,42,0.0097201085440458,crmf
shared replay trajectory seed,0.0015309858166171,0.0007753756272805,CRMF - ALF,0.0204081632653061,14.0,mean_abs_realized_radius_update,2000,50,0.0011438710832655,crmf
shared replay trajectory seed,0.3260152363184079,0.2055031094527363,CRMF - ALF,0.0204081632653061,14.0,mean_interaction_degree,2000,50,0.2663495024875622,crmf
shared replay trajectory seed,0.0569280161691541,0.0108634950248756,CRMF - ALF,0.0204081632653061,14.0,mean_largest_scc_fraction,2000,50,0.0312437810945273,crmf
shared replay trajectory seed,-7.500000000000001e-05,-0.000225,CRMF - ALF,0.0123456790123456,18.0,contact_break_rate,2000,50,-0.00014375,crmf
shared replay trajectory seed,0.0514616796646148,0.0057869495295582,CRMF - ALF,0.0123456790123456,18.0,joint_unsaturated_mean_abs_realized_radius_update,2000,12,0.0271144331121158,crmf
shared replay trajectory seed,0.0007963401479025,0.0003301200972667,CRMF - ALF,0.0123456790123456,18.0,mean_abs_realized_radius_update,2000,50,0.0005539642484133,crmf
shared replay trajectory seed,0.1945609452736317,0.0998072139303482,CRMF - ALF,0.0123456790123456,18.0,mean_interaction_degree,2000,50,0.1460323383084576,crmf
shared replay trajectory seed,0.064662935323383,0.0136875,CRMF - ALF,0.0123456790123456,18.0,mean_largest_scc_fraction,2000,50,0.0361940298507462,crmf
shared replay trajectory seed,0.0003625,-0.0001562499999999,CRMF - ALF,0.0330578512396694,11.0,contact_break_rate,2000,50,0.00010625,fixed_r6
shared replay trajectory seed,0.0022201112648937,0.0010258228312078,CRMF - ALF,0.0330578512396694,11.0,joint_unsaturated_mean_abs_realized_radius_update,2000,50,0.0016277808797442,fixed_r6
shared replay trajectory seed,0.0026663872979474,0.0017703412724386,CRMF - ALF,0.0330578512396694,11.0,mean_abs_realized_radius_update,2000,50,0.0022214051173401,fixed_r6
shared replay trajectory seed,0.1918254042288557,0.0094553793532338,CRMF - ALF,0.0330578512396694,11.0,mean_interaction_degree,2000,50,0.1014241293532338,fixed_r6
shared replay trajectory seed,0.0040055970149253,-1.865671641791078e-05,CRMF - ALF,0.0330578512396694,11.0,mean_largest_scc_fraction,2000,50,0.001523631840796,fixed_r6
shared replay trajectory seed,6.249999999999995e-05,-0.0003875,CRMF - ALF,0.0204081632653061,14.0,contact_break_rate,2000,50,-0.00015625,fixed_r6
shared replay trajectory seed,0.0093382919376252,0.0010337725870186,CRMF - ALF,0.0204081632653061,14.0,joint_unsaturated_mean_abs_realized_radius_update,2000,44,0.0045390697967963,fixed_r6
shared replay trajectory seed,0.0019939990077605,0.0011430992908001,CRMF - ALF,0.0204081632653061,14.0,mean_abs_realized_radius_update,2000,50,0.0015614818010871,fixed_r6
shared replay trajectory seed,0.281157960199005,0.1229390547263681,CRMF - ALF,0.0204081632653061,14.0,mean_interaction_degree,2000,50,0.1991417910447761,fixed_r6
shared replay trajectory seed,0.0063246268656716,-0.0017300995024875,CRMF - ALF,0.0204081632653061,14.0,mean_largest_scc_fraction,2000,50,0.002636815920398,fixed_r6
shared replay trajectory seed,0.0001999999999999,-4.375000000000005e-05,CRMF - ALF,0.0123456790123456,18.0,contact_break_rate,2000,50,6.874999999999996e-05,fixed_r6
shared replay trajectory seed,0.00377011930759,0.0002455069768301,CRMF - ALF,0.0123456790123456,18.0,joint_unsaturated_mean_abs_realized_radius_update,2000,24,0.0019685437780966,fixed_r6
shared replay trajectory seed,0.0012102706179659,0.0005680301516462,CRMF - ALF,0.0123456790123456,18.0,mean_abs_realized_radius_update,2000,50,0.000874366379154,fixed_r6
shared replay trajectory seed,0.1506302860696516,0.0728339552238805,CRMF - ALF,0.0123456790123456,18.0,mean_interaction_degree,2000,50,0.1095335820895521,fixed_r6
shared replay trajectory seed,0.0082902674129353,-0.0001372823383084,CRMF - ALF,0.0123456790123456,18.0,mean_largest_scc_fraction,2000,50,0.0039054726368159,fixed_r6
