agent_collision_rate,candidate_cap,components,contact_break_rate,control_energy,density,distance_evaluations_per_step,edge_persistence,final_edge_count,final_fragmentation,final_largest_scc_fraction,final_mean_in_degree,final_mean_out_degree,final_min_in_degree,final_min_out_degree,final_n_scc,final_normalized_comm_cost,final_rooted_fraction,final_sym_lambda2,fragmentation,half_width,largest_component_fraction,mean_abs_radius_command_update,mean_abs_radius_update,mean_agent_degree_temporal_variance,mean_agent_radius_temporal_std,mean_degree,mean_degree_error,mean_degree_error_sq,mean_edge_count,mean_fragmentation,mean_interaction_area,mean_interaction_out_degree,mean_largest_component_fraction,mean_largest_scc_fraction,mean_min_in_degree,mean_min_out_degree,mean_n_scc,mean_normalized_comm_cost,mean_probe_degree,mean_radius,mean_radius_footprint,mean_radius_sq,mean_rooted_fraction,mean_sym_lambda2,mechanism,method,minimum_agent_distance,minimum_obstacle_clearance,n_agents,neighbor_loss_rate,noise_std,obstacle_collision_rate,obstacle_proximity_rate,parameter,polar_order,radius_command_temporal_variation,radius_max_saturation_fraction,radius_min_saturation_fraction,radius_oscillation_frequency,radius_sign_reversal_count,radius_sign_reversal_rate,radius_temporal_variation,rms_radius_update,runtime_s,seed,sorting_operations_per_step,steps,velocity_dispersion,visible_neighbor_count_mean
0.0,8.0,1.0,0.000625,0.02256365234854623,0.012345679012345678,240,0.9997385210752013,40.0,0.0,0.5,2.5,2.5,0.0,1.0,3.0,0.16666666666666666,0.0,0.1450566574791045,0.0,18.0,1.0,0.0006698729810778071,0.0006698729806052067,0.20763718719833668,0.020629338063456265,2.369092039800995,5.251243781094527,28.137437810945272,37.90547263681592,0.11847014925373134,191.93911706690434,2.369092039800995,0.8815298507462687,0.4791666666666667,0.01990049751243781,0.9651741293532339,3.228855721393035,0.1579394693200668,0.7487562189054726,7.805703508469222,977.5378961245375,61.09611850778359,0.0,0.11192230381525523,alf,alf,1.632201674139718,36.0,16,0.000625,0.0,0.0,0.0,0.5,0.9564072806777109,0.0006698729810778071,0.8131218905472637,0.0,0.0,0,0.0,0.0006698729806052067,0.006147176062161045,1.1345028000000639,20000,0,200,0.017550718307072416,2.603233830845771
0.0,8.0,1.0,0.0003125,0.01211890130666328,0.012345679012345678,240,0.9998951122299139,47.0,0.0,1.0,2.9375,2.9375,1.0,1.0,1.0,0.19583333333333333,1.0,0.09759083978962999,0.0,18.0,1.0,0.0006698729810778071,0.0006698729806052065,0.08326217172842257,0.020629338063456203,2.8796641791044775,5.5,30.625,46.07462686567164,0.01990049751243781,197.90970609034326,2.8796641791044775,0.9800995024875622,0.9800995024875622,0.9353233830845771,0.9353233830845771,1.1791044776119404,0.19197761194029814,0.5,7.933012701892249,1007.945856324554,62.99661602028463,0.9353233830845771,0.09051298546120817,alf,alf,0.8058490244105846,36.0,16,0.0003125,0.0,0.0,0.0,0.5,0.9631707240183137,0.0006698729810778071,0.8753109452736318,0.0,0.0,0,0.0,0.0006698729806052065,0.006147176062161042,1.230962399999953,20001,0,200,0.011063070676442329,3.277363184079602
0.0,8.0,1.0,0.0,0.026448988478852922,0.012345679012345678,240,1.0,48.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,0.2,1.0,0.043212179911387254,0.0,18.0,1.0,0.0,0.0,0.09681691047251306,0.0,2.904228855721393,5.625,31.875,46.46766169154229,0.040733830845771146,201.06192982974676,2.904228855721393,0.9592661691542289,0.9592661691542289,0.5970149253731343,0.5970149253731343,1.537313432835821,0.193615257048093,0.375,8.0,1024.0,64.0,0.5970149253731343,0.0376415179616434,alf,alf,1.2055822208447438,36.0,16,0.0,0.0,0.0,0.0,0.5,0.9421901751309996,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,1.1901413000000503,20002,0,200,0.010918143804658728,3.0460199004975124
0.0,8.0,1.0,0.000625,0.017059917776852486,0.012345679012345678,240,0.9997395019276857,51.0,0.0,1.0,3.1875,3.1875,1.0,1.0,1.0,0.2125,1.0,0.24369131006500183,0.0,18.0,1.0,0.0,0.0,0.07191653671938814,1.6653345369377348e-16,3.1526741293532337,5.500621890547263,30.8818407960199,50.44278606965174,0.009017412935323384,191.63715186897738,3.1526741293532337,0.9909825870646766,0.9844527363184079,0.9950248756218906,0.9950248756218906,1.0895522388059702,0.21017827529021482,0.4993781094527363,7.799038105676643,976.0,61.0,0.9409203980099502,0.23080603988786602,alf,alf,0.8078064545853259,36.0,16,0.000625,0.0,0.0,0.0,0.5,0.9573658392683538,0.0,0.8125,0.0,0.0,0,0.0,0.0,0.0,1.285693899999842,20003,0,200,0.012516687235232374,3.3569651741293534
0.0,8.0,1.0,0.000625,0.02096495642992934,0.012345679012345678,240,0.99984375,51.0,0.0,1.0,3.1875,3.1875,1.0,1.0,1.0,0.2125,1.0,0.05733348258562231,0.0,18.0,1.0,0.0,0.0,0.20264040494047178,1.6653345369377348e-16,2.990360696517413,5.5,30.875,47.84577114427861,0.15702736318407962,191.63715186897738,2.990360696517413,0.8429726368159204,0.8429726368159204,1.0,1.0,1.4477611940298507,0.19935737976782683,0.5,7.799038105676643,976.0,61.0,0.6069651741293532,0.03682413422034499,alf,alf,0.7127743341857544,36.0,16,0.000625,0.0,0.0,0.0,0.5,0.9559907576908235,0.0,0.8125,0.0,0.0,0,0.0,0.0,0.0,1.141213500000049,20004,0,200,0.01219680875927984,3.2388059701492535
0.0,8.0,1.0,0.000625,0.014661717889299444,0.012345679012345678,240,0.999790816860161,55.0,0.0,1.0,3.4375,3.4375,1.0,2.0,1.0,0.22916666666666666,1.0,0.22189287381260572,0.0,18.0,1.0,0.0,0.0,0.3717358481225712,2.220446049250313e-16,3.0789800995024876,5.125,26.875,49.2636815920398,0.17941542288557213,188.49555921538757,3.0789800995024876,0.8205845771144279,0.8131218905472637,0.9353233830845771,1.4427860696517414,1.791044776119403,0.2052653399668321,0.875,7.732050807568855,960.0,60.0,0.5,0.10688387217763011,alf,alf,0.9741254586641833,36.0,16,0.000625,0.0,0.0,0.0,0.5,0.9513653277128097,0.0,0.75,0.0,0.0,0,0.0,0.0,0.0,1.2979308999997556,20005,0,200,0.02301157784048807,3.3370646766169156
0.0,8.0,1.0,0.0,0.010883673630794235,0.012345679012345678,240,1.0,42.0,0.0,1.0,2.625,2.625,1.0,1.0,1.0,0.175,1.0,0.08163693606014123,0.0,18.0,1.0,0.0,0.0,0.031109997277295118,0.0,2.5901741293532337,5.625621890547263,31.8818407960199,41.44278606965174,0.04788557213930348,201.06192982974676,2.5901741293532337,0.9521144278606966,0.9521144278606966,1.0,1.0,1.243781094527363,0.17267827529021587,0.3743781094527363,8.0,1024.0,64.0,0.7761194029850746,0.06344434910666005,alf,alf,1.397380831549806,36.0,16,0.0,0.0,0.0,0.0,0.5,0.8971310022517385,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,1.150184299999637,20006,0,200,0.005450242220439891,2.6001243781094527
0.0,8.0,1.0,0.0,0.01627710029304172,0.012345679012345678,240,1.0,44.0,0.0,1.0,2.75,2.75,1.0,1.0,1.0,0.18333333333333332,1.0,0.148165690725292,0.0,18.0,1.0,0.00033493649053890353,0.0003349364903026031,0.04592708101284622,0.0103146690317281,2.712997512437811,5.749378109452737,33.243781094527364,43.407960199004975,0.001554726368159204,200.9003161449695,2.712997512437811,0.9984452736318408,0.9984452736318408,1.0,1.0,1.0049751243781095,0.18086650082918718,0.2506218905472637,7.99666729860372,1023.176908262285,63.94855676639281,0.9950248756218906,0.13878878102688863,alf,alf,1.695897363943437,36.0,16,0.0,0.0,0.0,0.0,0.5,0.9214786418016062,0.00033493649053890353,0.9375,0.0,0.0,0,0.0,0.0003349364903026031,0.004346709878701689,1.139870499999688,20007,0,200,0.009161403544905845,2.7220149253731343
0.0,8.0,1.0,0.0,0.015400339695656991,0.012345679012345678,240,1.0,51.0,0.0,1.0,3.1875,3.1875,1.0,1.0,1.0,0.2125,1.0,0.23333916846955174,0.0,18.0,1.0,0.0,0.0,0.04728843345461746,1.6653345369377348e-16,3.1483208955223883,5.375,29.5,50.37313432835821,0.014303482587064677,191.63715186897738,3.1483208955223883,0.9856965174129353,0.9841417910447762,0.8955223880597015,0.8955223880597015,1.2238805970149254,0.20988805970149177,0.625,7.799038105676643,976.0,61.0,0.8855721393034826,0.20666632557304507,alf,alf,1.258386802826287,36.0,16,0.0,0.0,0.0,0.0,0.5,0.9465588126329804,0.0,0.8125,0.0,0.0,0,0.0,0.0,0.0,1.196048399999654,20008,0,200,0.011764065251686084,3.4676616915422884
0.0,8.0,1.0,0.000625,0.024425010966249872,0.012345679012345678,240,0.9995764506565015,42.0,0.0,1.0,2.625,2.625,1.0,1.0,1.0,0.175,1.0,0.21934850074442555,0.0,18.0,1.0,0.0,0.0,0.13694277369372046,5.551115123125783e-17,2.512126865671642,5.625,32.0,40.19402985074627,0.05006218905472637,197.92033717615698,2.512126865671642,0.9499378109452736,0.9499378109452736,0.7412935323383084,0.7412935323383084,1.3482587064676617,0.16747512437810974,0.375,7.933012701892249,1008.0,63.0,0.736318407960199,0.15904981519480185,alf,alf,2.729955327849628,36.0,16,0.000625,0.0,0.0,0.0,0.5,0.9577106995028989,0.0,0.9375,0.0,0.0,0,0.0,0.0,0.0,1.1042469999997593,20009,0,200,0.012224338755725784,2.7574626865671643
