half_width,density,method,mean_final_radius,n_seeds,n_agents
7.0,0.08163265306,fixed,4,5,16
7.0,0.08163265306,adaptive,5.066619009,5,16
7.0,0.08163265306,alf,5.015075048,5,16
9.0,0.04938271605,fixed,4,5,16
9.0,0.04938271605,adaptive,6.363031379,5,16
9.0,0.04938271605,alf,6.337666082,5,16
11.0,0.03305785124,fixed,4,5,16
11.0,0.03305785124,adaptive,6.923161266,5,16
11.0,0.03305785124,alf,6.923161266,5,16
14.0,0.02040816327,fixed,4,5,16
14.0,0.02040816327,adaptive,7.262356877,5,16
14.0,0.02040816327,alf,7.262356826,5,16
18.0,0.01234567901,fixed,4,5,16
18.0,0.01234567901,adaptive,7.612399117,5,16
18.0,0.01234567901,alf,7.596507437,5,16
23.0,0.007561436673,fixed,4,5,16
23.0,0.007561436673,adaptive,7.825833025,5,16
23.0,0.007561436673,alf,7.825833025,5,16
30.0,0.004444444444,fixed,4,5,16
30.0,0.004444444444,adaptive,7.906217783,5,16
30.0,0.004444444444,alf,7.906217783,5,16
