kind,label,x,raw_residual_norm,policy_std,opposing_fraction,agent_collision_rate,obstacle_collision_rate,polar_order
training,episode_0,0,0.000,0.0498,0.000,,,
training,episode_50,50,0.204,0.855,0.844,,,
training,episode_100,100,0.445,0.801,0.734,,,
training,episode_150,150,0.424,0.885,0.766,,,
training,episode_200,200,0.407,0.858,0.656,,,
training,episode_250,250,0.438,0.880,0.609,,,
training,episode_300,300,0.409,0.875,0.594,,,
sweep,prior_only,0,,,,0.087,0.088,0.990
sweep,rs_0.05,0.05,,,,0.112,0.066,0.840
sweep,rs_0.10,0.10,,,,0.210,0.024,0.857
sweep,rs_0.20,0.20,,,,0.473,0.015,0.812
sweep,rs_0.35,0.35,,,,0.628,0.012,0.832
