comparison,method,metric,estimand,n_pairs,n_bootstrap,paired_mean_difference,ci95_low,ci95_high
crmf - alf,crmf,final_fragmentation,equal-weight mean over five primary density cells,50,2000,0.002,0.0,0.006000000000000001
crmf - alf,crmf,mean_fragmentation,equal-weight mean over five primary density cells,50,2000,0.00025621890547263687,-0.00014679726368159167,0.0007748756218905476
crmf - alf,crmf,final_largest_scc_fraction,equal-weight mean over five primary density cells,50,2000,0.0030000000000000005,-0.005499999999999998,0.01275
crmf - alf,crmf,mean_largest_scc_fraction,equal-weight mean over five primary density cells,50,2000,0.004106965174129349,-0.0015087064676616935,0.010393563432835819
crmf - alf,crmf,mean_degree,equal-weight mean over five primary density cells,50,2000,-0.02784079601990058,-0.07353233830845782,0.015534888059701367
crmf - alf,crmf,mean_radius,equal-weight mean over five primary density cells,50,2000,0.06554420035320914,0.025847266417754807,0.10581777295303574
crmf - alf,crmf,mean_interaction_area,equal-weight mean over five primary density cells,50,2000,2.664559053947735,1.0435158069483217,4.291024115564189
crmf - alf,crmf,radius_temporal_variation,equal-weight mean over five primary density cells,50,2000,0.0007715283933765169,0.0005986795374403214,0.0009651940538570838
crmf - alf,crmf,radius_command_temporal_variation,equal-weight mean over five primary density cells,50,2000,0.00662219534308774,0.005475405906440723,0.008021929658506824
crmf - alf,crmf,neighbor_loss_rate,equal-weight mean over five primary density cells,50,2000,0.00014499999999999997,7.499999999999975e-06,0.00028125000000000003
crmf - alf,crmf,contact_break_rate,equal-weight mean over five primary density cells,50,2000,0.00017499999999999994,2.7468749999999902e-05,0.0003199999999999999
crmf - alf,crmf,control_energy,equal-weight mean over five primary density cells,50,2000,-1.2712289338710058e-05,-3.229864025957433e-05,1.5623346079127663e-07
stardisplay - alf,stardisplay,final_fragmentation,equal-weight mean over five primary density cells,50,2000,0.006999999999999999,0.0022500000000000003,0.01225
stardisplay - alf,stardisplay,mean_fragmentation,equal-weight mean over five primary density cells,50,2000,0.009312189054726368,0.003482182835820895,0.015096082089552237
stardisplay - alf,stardisplay,final_largest_scc_fraction,equal-weight mean over five primary density cells,50,2000,-0.04825,-0.06100625,-0.03525
stardisplay - alf,stardisplay,mean_largest_scc_fraction,equal-weight mean over five primary density cells,50,2000,-0.051764925373134325,-0.0643478855721393,-0.0400820895522388
stardisplay - alf,stardisplay,mean_degree,equal-weight mean over five primary density cells,50,2000,-1.1357773631840797,-1.2060360074626868,-1.0614635572139304
stardisplay - alf,stardisplay,mean_radius,equal-weight mean over five primary density cells,50,2000,-0.8791747408769603,-0.9137845928327669,-0.8405486690579269
stardisplay - alf,stardisplay,mean_interaction_area,equal-weight mean over five primary density cells,50,2000,-38.054285816555506,-39.515549642299646,-36.52020343749692
stardisplay - alf,stardisplay,radius_temporal_variation,equal-weight mean over five primary density cells,50,2000,0.015172350810154483,0.014790158072183136,0.01555581842367352
stardisplay - alf,stardisplay,radius_command_temporal_variation,equal-weight mean over five primary density cells,50,2000,0.13406023514486956,0.1279823163181593,0.140235378223697
stardisplay - alf,stardisplay,neighbor_loss_rate,equal-weight mean over five primary density cells,50,2000,0.008695,0.00841371875,0.008991281249999998
stardisplay - alf,stardisplay,contact_break_rate,equal-weight mean over five primary density cells,50,2000,0.008611249999999999,0.00834125,0.008921249999999999
stardisplay - alf,stardisplay,control_energy,equal-weight mean over five primary density cells,50,2000,0.0006703046054449225,0.00030599320209085583,0.0010686397023649586
density_oracle - alf,density_oracle,final_fragmentation,equal-weight mean over five primary density cells,50,2000,0.002,0.0,0.006000000000000001
density_oracle - alf,density_oracle,mean_fragmentation,equal-weight mean over five primary density cells,50,2000,0.0002624378109452737,-0.00011573383084577107,0.000783675373134328
density_oracle - alf,density_oracle,final_largest_scc_fraction,equal-weight mean over five primary density cells,50,2000,0.0049999999999999975,-0.0025,0.013999999999999997
density_oracle - alf,density_oracle,mean_largest_scc_fraction,equal-weight mean over five primary density cells,50,2000,0.005930348258706455,0.0013680970149253728,0.012083924129353206
density_oracle - alf,density_oracle,mean_degree,equal-weight mean over five primary density cells,50,2000,-0.24469527363184093,-0.34715743159204,-0.1454766791044778
density_oracle - alf,density_oracle,mean_radius,equal-weight mean over five primary density cells,50,2000,0.06868027608679972,0.0023964034400858624,0.1354928507417182
density_oracle - alf,density_oracle,mean_interaction_area,equal-weight mean over five primary density cells,50,2000,2.196808044011595,-0.2790615848949593,4.8193182537850525
density_oracle - alf,density_oracle,radius_temporal_variation,equal-weight mean over five primary density cells,50,2000,0.0018102614356778116,0.0015877283374998298,0.0020551137307491373
density_oracle - alf,density_oracle,radius_command_temporal_variation,equal-weight mean over five primary density cells,50,2000,0.00877025756256502,0.008568459639044162,0.008996059772709916
density_oracle - alf,density_oracle,neighbor_loss_rate,equal-weight mean over five primary density cells,50,2000,0.0015925,0.0013437187499999999,0.0018362812499999996
density_oracle - alf,density_oracle,contact_break_rate,equal-weight mean over five primary density cells,50,2000,0.0015787499999999999,0.00133365625,0.00181375
density_oracle - alf,density_oracle,control_energy,equal-weight mean over five primary density cells,50,2000,-1.3031786425159383e-05,-3.213058935026404e-05,-7.544529082344077e-07
