method,method_label,half_width,density,n_seeds,final_fragmentation_mean,final_fragmentation_sd,mean_fragmentation_mean,mean_fragmentation_sd,final_largest_scc_fraction_mean,final_largest_scc_fraction_sd,mean_largest_scc_fraction_mean,mean_largest_scc_fraction_sd,mean_degree_mean,mean_degree_sd,mean_radius_mean,mean_radius_sd,mean_interaction_area_mean,mean_interaction_area_sd,radius_temporal_variation_mean,radius_temporal_variation_sd,radius_command_temporal_variation_mean,radius_command_temporal_variation_sd,neighbor_loss_rate_mean,neighbor_loss_rate_sd,contact_break_rate_mean,contact_break_rate_sd,control_energy_mean,control_energy_sd
alf,ALF,7.0,0.08163265306122448,50,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7.265292288557214,0.5769689879477824,5.166740318836223,0.31214136335756254,86.94940883909885,9.928737464320502,0.0021675404421489016,0.0007070808693374307,0.002628366597755285,0.0008523598018161197,0.0032687500000000004,0.001456493311985037,0.0036625000000000004,0.001587227800864367,0.008591914196776657,0.0013013016101252224
alf,ALF,9.0,0.04938271604938271,50,0.0,0.0,0.0,0.0,0.99375,0.04419417382415922,0.994092039800995,0.04177558719696643,6.829135572139303,0.5470313003569921,6.463286581247982,0.4047992782165982,135.86175183815843,15.65956656226602,0.002177349254010074,0.0008714217612669765,0.0026184370510870174,0.0011827849457460243,0.00285,0.001368199789235953,0.0031,0.0015057817991098884,0.008632558251394782,0.0013046016184093954
alf,ALF,11.0,0.03305785123966942,50,0.0,0.0,0.0,0.0,0.99625,0.026516504294495532,0.9970646766169154,0.020711045618868055,5.442213930348259,0.4796955235445327,7.169669607113417,0.3603282626831128,164.6167875382949,14.964319985735631,0.0016292087702387747,0.0008856995581266866,0.0020408374598565693,0.001307786330631833,0.0020375000000000002,0.0011949617874515435,0.0021875,0.0013030820999398592,0.008735609946861725,0.0011778639197077751
alf,ALF,14.0,0.02040816326530612,50,0.0,0.0,0.0017412935323383083,0.004289306220530672,0.995,0.027779194975185797,0.9920335820895523,0.027341245422337904,3.953837064676617,0.47397637514415913,7.652219273136269,0.24279931091812038,185.41141092043134,10.532706758380852,0.0006594219964198788,0.0006954770952657547,0.0009099228594871063,0.0009475076802906739,0.0012562500000000002,0.0008505372326851268,0.0013187499999999998,0.0008406381580413192,0.009820461150625364,0.0017066627894880186
alf,ALF,18.0,0.012345679012345678,50,0.0025,0.017677669529663688,0.08361940298507463,0.094818589418867,0.9775,0.0872627980205044,0.8982338308457711,0.11697262322846808,2.8719278606965175,0.4050719690237818,7.8533705612769475,0.13659911466376257,194.29222266494395,6.170064134018846,0.00025611092715950535,0.00041999491736602573,0.0002741851990267052,0.00045156544680981844,0.0008125000000000001,0.000643848442047141,0.0008375,0.000678336425472235,0.017622811263449372,0.010058231300695573
crmf,CRMF,7.0,0.08163265306122448,50,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.795715174129353,0.21093152985875221,4.994344372326929,0.2598855137127,80.13678394550595,7.695521224262938,0.002656933845329382,0.0011726570391339818,0.016286535214498542,0.017410289734495318,0.00393125,0.0016232943363885123,0.004412500000000001,0.001701870969233087,0.008595237419879873,0.0012993256490137176
crmf,CRMF,9.0,0.04938271604938271,50,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.63693407960199,0.27968974093048626,6.386257551744452,0.36020707108241923,130.9904090354022,13.351195421058573,0.0035244660608480904,0.00112491877603412,0.014008016121039898,0.010585119240845842,0.00360625,0.0013455360105222918,0.003875,0.001421578868579523,0.008626501429871142,0.0012960207799546366
crmf,CRMF,11.0,0.03305785123966942,50,0.0,0.0,0.0,0.0,0.99625,0.026516504294495532,0.9961007462686566,0.025613732865134978,5.702139303482587,0.387842620987897,7.382534613824955,0.35258983681216427,173.25277578399738,14.791516086218262,0.00253401748287039,0.0010908463273471653,0.007739938176062285,0.004166312788207372,0.00169375,0.0008750227766714861,0.0018875,0.0009779944858155972,0.008732639731306766,0.0011705455120692104
crmf,CRMF,14.0,0.02040816326530612,50,0.0,0.0,0.0018097014925373134,0.004578437375028125,0.99375,0.028931878117892232,0.9913992537313433,0.029416978442856928,4.141828358208955,0.4617659405432287,7.883105253426371,0.15914344372608552,195.64685585015388,7.145761391808422,0.0013993678382276198,0.0008278808745754875,0.0027754108141126443,0.0020039994481381405,0.00096875,0.0005690869992849091,0.00103125,0.0005725783633205652,0.009808706837087507,0.0016889538237100466
crmf,CRMF,18.0,0.012345679012345678,50,0.0125,0.07253605718424964,0.0848320895522388,0.09622615266808589,0.9875,0.07253605718424964,0.9144589552238805,0.09588376276025211,2.9465858208955225,0.42843748832433554,7.986765552054177,0.020949761602737385,200.42755245560667,0.99809052399952,0.0006324881295842367,0.0005907385353801713,0.0007728255569380183,0.0008488014537658412,0.00075,0.0006591438866175625,0.000775,0.0006951682735650618,0.01757670794426906,0.010066773513591289
