comparison,method,half_width,density,metric,n_pairs,n_bootstrap,paired_mean_difference,ci95_low,ci95_high
crmf - alf,crmf,7.0,0.08163265306122448,final_fragmentation,50,2000,0.0,0.0,0.0
crmf - alf,crmf,7.0,0.08163265306122448,mean_fragmentation,50,2000,0.0,0.0,0.0
crmf - alf,crmf,7.0,0.08163265306122448,final_largest_scc_fraction,50,2000,0.0,0.0,0.0
crmf - alf,crmf,7.0,0.08163265306122448,mean_largest_scc_fraction,50,2000,0.0,0.0,0.0
crmf - alf,crmf,7.0,0.08163265306122448,mean_degree,50,2000,-0.4695771144278607,-0.6119059390547263,-0.3297207711442787
crmf - alf,crmf,7.0,0.08163265306122448,mean_radius,50,2000,-0.17239594650929363,-0.23319958580593825,-0.11351301389114414
crmf - alf,crmf,7.0,0.08163265306122448,mean_interaction_area,50,2000,-6.812624893592898,-8.68567902948272,-4.927317992107402
crmf - alf,crmf,7.0,0.08163265306122448,radius_temporal_variation,50,2000,0.0004893934031804804,0.00015290369760698024,0.0008355023585795123
crmf - alf,crmf,7.0,0.08163265306122448,radius_command_temporal_variation,50,2000,0.013658168616743255,0.00923993357780419,0.018649588839310532
crmf - alf,crmf,7.0,0.08163265306122448,neighbor_loss_rate,50,2000,0.0006625,0.00023125,0.0010939062499999992
crmf - alf,crmf,7.0,0.08163265306122448,contact_break_rate,50,2000,0.00075,0.000325,0.0012
crmf - alf,crmf,7.0,0.08163265306122448,control_energy,50,2000,3.3232231032160297e-06,-4.332154455223233e-06,1.1347833419555982e-05
stardisplay - alf,stardisplay,7.0,0.08163265306122448,final_fragmentation,50,2000,0.0,0.0,0.0
stardisplay - alf,stardisplay,7.0,0.08163265306122448,mean_fragmentation,50,2000,0.0,0.0,0.0
stardisplay - alf,stardisplay,7.0,0.08163265306122448,final_largest_scc_fraction,50,2000,-0.00375,-0.01125,0.0
stardisplay - alf,stardisplay,7.0,0.08163265306122448,mean_largest_scc_fraction,50,2000,-0.0036567164179104484,-0.010970149253731345,0.0
stardisplay - alf,stardisplay,7.0,0.08163265306122448,mean_degree,50,2000,-1.4701181592039803,-1.654106343283582,-1.2847804726368162
stardisplay - alf,stardisplay,7.0,0.08163265306122448,mean_radius,50,2000,-0.5791029284304274,-0.6429086904550638,-0.5151475233631864
