density_ratio,rho,domain_side,policy,seed,frag_final,frag_mean,largest_scc_final,scc_final_frac,n_components_final,lambda2_final,min_degree_final,mean_degree,mean_radius,min_radius,max_radius,ju_applied,ju_commanded,ju_jerk,sat_fraction,order_tail,dispersion_tail,min_pair_dist,collision_events,collision_pairs,finite,wall_time_s
1.0000,0.00279765,11.0938,alf,71000,0,0.00403125,1,1,1,2.5031869,3,6.7217813,5.1886721,3.4641016,6.9214082,0.072790144,0.072790144,0.0015169019,0,0.93263347,3.8486509,1.3974801,0,0,1,1.257
1.0000,0.00279765,11.0938,ctrl,71000,0,0.00596875,1,1,1,16,15,14.443188,8,8,8,0.19736185,0.19736185,0.00050353882,0,0.97758165,2.7656464,1.3974801,0,0,1,1.154
1.0000,0.00279765,11.0938,alf,71001,0,0.000375,1,1,1,1.6905291,4,6.4419688,5.1309837,3.9996073,6.9153354,0.032280508,0.032280508,0.00089971497,0,0.85555158,4.0276711,1.9684251,0,0,1,1.191
1.0000,0.00279765,11.0938,ctrl,71001,0,0.000375,1,1,1,16,15,14.483937,8,8,8,0.24360012,0.24360012,0.00044161563,0,0.96677353,2.8292988,1.4688932,0,0,1,1.135
1.0000,0.00279765,11.0938,alf,71002,0,0.01878125,1,1,1,2.2156868,4,6.244125,5.4015434,4,6.9282032,0.12999689,0.12999689,0.0019141815,0,0.85983323,3.9812989,1.7596397,0,0,1,1.220
1.0000,0.00279765,11.0938,ctrl,71002,0,0.01878125,1,1,1,16,15,13.336625,8,8,8,0.28866517,0.28866517,0.0014192451,0,0.94984353,2.8397569,1.4505636,0,0,1,1.174
1.0000,0.00279765,11.0938,alf,71003,0,0.00834375,1,1,1,2.0196154,4,6.117125,5.235483,4.0000001,6.9241684,0.16765005,0.16765005,0.0048312532,0,0.87999807,4.0665402,1.7694475,0,0,1,1.297
1.0000,0.00279765,11.0938,ctrl,71003,0,0.008625,1,1,1,16,15,14.052062,8,8,8,0.46738971,0.46738971,0.0049210123,0,0.96662645,2.8960426,1.6974086,0,0,1,1.157
1.0000,0.00279765,11.0938,alf,71004,0,0.00371875,1,1,1,3.4356716,6,6.9093125,5.5255534,4.0000007,6.9282032,0.15248693,0.15248693,0.0014023088,0,0.86846253,4.2428045,1.5559347,0,0,1,1.223
1.0000,0.00279765,11.0938,ctrl,71004,0,0.00371875,1,1,1,11.829914,12,14.342562,8,8,8,0.58735655,0.58735655,0.0007513399,0,0.9515417,3.0407034,1.5804752,0,0,1,1.170
1.0000,0.00279765,11.0938,alf,71005,0,0.0024375,1,1,1,1.9562366,0,5.9060625,5.2346266,3.4702172,6.2206624,0.050061862,0.050061862,0.00080451344,0,0.8206348,4.0353725,1.9430875,0,0,1,1.237
1.0000,0.00279765,11.0938,ctrl,71005,0,0.0024375,1,1,1,16,15,13.878625,8,8,8,0.2409546,0.2409546,0.00052270925,0,0.9253529,2.8788433,1.7383748,0,0,1,1.253
1.0000,0.00279765,11.0938,alf,71006,0,0.0291875,1,1,1,1.5108186,4,6.455125,5.2477094,4.0001289,6.5524745,0.059980767,0.059980767,0.00086316756,0,0.91671262,4.011488,1.5361503,0,0,1,1.214
